count_index,ts_swap,swap_to_recv_ns,werner,success_bit
362,1789567626394316016,96086,0.000000,0
363,1789567626394723251,95784,0.931000,1
364,1789567626395130205,98124,0.931000,1
365,1789567626395537610,95923,0.000000,0
366,1789567626395944645,98002,0.000000,0
367,1789567626396351629,106052,0.000000,0
368,1789567626396758774,96682,0.000000,0
369,1789567626397165619,98010,0.000000,0
370,1789567626397573003,96250,0.000000,0
371,1789567626397979778,97499,0.000000,0
372,1789567626398387072,102139,0.000000,0
373,1789567626398793847,96448,0.000000,0
374,1789567626399201102,96197,0.000000,0
375,1789567626399608056,96227,0.000000,0
376,1789567626400015341,103076,0.000000,0
377,1789567626400422515,96926,0.000000,0
378,1789567626400829560,96765,0.000000,0
379,1789567626401236935,97654,0.000000,0
380,1789567626401644539,97514,0.931000,1
381,1789567626402051254,97582,0.000000,0
382,1789567626402458438,97602,0.000000,0
383,1789567626402865883,96042,0.000000,0
384,1789567626403272977,97132,0.000000,0
385,1789567626403679972,97111,0.000000,0
386,1789567626404087167,96210,0.000000,0
387,1789567626404494111,96750,0.000000,0
388,1789567626404901216,97648,0.000000,0
389,1789567626405308260,96798,0.000000,0
390,1789567626405715845,97388,0.000000,0
391,1789567626406122630,96667,0.000000,0
392,1789567626406529694,96847,0.000000,0
393,1789567626406936639,98816,0.000000,0
394,1789567626407343723,95725,0.000000,0
395,1789567626407750418,95494,0.000000,0
396,1789567626408157103,97143,0.000000,0
397,1789567626408564297,95913,0.000000,0
398,1789567626408971142,98983,0.000000,0
399,1789567626409378686,96263,0.000000,0
400,1789567626409786131,112501,0.000000,0
401,1789567626410194666,97260,0.000000,0
402,1789567626410601980,96250,0.931000,1
403,1789567626411008815,97579,0.000000,0
404,1789567626411415929,95879,0.000000,0
405,1789567626411822794,97179,0.000000,0
406,1789567626412229879,96687,0.000000,0
407,1789567626412637003,96447,0.000000,0
408,1789567626413043928,98576,0.000000,0
409,1789567626413451313,96765,0.000000,0
410,1789567626413858597,96775,0.000000,0
411,1789567626414266712,96814,0.000000,0
412,1789567626414674096,96964,0.000000,0
413,1789567626415081301,98133,0.000000,0
414,1789567626415488456,96332,0.000000,0
415,1789567626415895420,95512,0.000000,0
416,1789567626416302335,97601,0.000000,0
417,1789567626416709369,95671,0.000000,0
418,1789567626417116154,97079,0.000000,0
419,1789567626417523459,96198,0.000000,0
420,1789567626417931223,97909,0.000000,0
421,1789567626418338158,97498,0.000000,0
422,1789567626418745282,96338,0.000000,0
423,1789567626419152247,97217,0.000000,0
424,1789567626419559422,96745,0.000000,0
425,1789567626419966666,98365,0.000000,0
426,1789567626420373951,96044,0.000000,0
427,1789567626420780666,95704,0.000000,0
428,1789567626421187650,100694,0.000000,0
