seq,ts_emit,ts_recv,latency_us,w,bit
213,1789388429034428627,1789388429034578079,149.452,0.475,1
214,1789388429035045458,1789388429035194243,148.785,0.475,1
215,1789388429035653514,1789388429035837340,183.826,0.475,1
216,1789388429036351980,1789388429036758629,406.649,0.475,1
217,1789388429037101173,1789388429037241487,140.314,0.475,1
218,1789388429037706067,1789388429037945883,239.816,0.475,1
219,1789388429038307731,1789388429038482664,174.933,0.475,1
220,1789388429038918170,1789388429039101172,183.002,0.475,1
221,1789388429039522857,1789388429039770293,247.436,0.0,0
222,1789388429040127166,1789388429040378132,250.966,0.475,1
223,1789388429040748374,1789388429040928234,179.86,0.0,0
224,1789388429041383613,1789388429041707174,323.561,0.475,1
225,1789388429041985472,1789388429042154350,168.878,0.475,1
226,1789388429042574328,1789388429042733355,159.027,0.475,1
227,1789388429043169747,1789388429043298758,129.011,0.475,1
228,1789388429043796016,1789388429043925901,129.885,0.0,0
229,1789388429044406030,1789388429044627987,221.957,0.475,1
230,1789388429045003545,1789388429045202160,198.615,0.475,1
231,1789388429045614907,1789388429045759970,145.063,0.475,1
232,1789388429046232332,1789388429046443364,211.032,0.475,1
233,1789388429046848117,1789388429047106229,258.112,0.475,1
234,1789388429047488854,1789388429047790613,301.759,0.475,1
235,1789388429048122818,1789388429048421555,298.737,0.0,0
236,1789388429048766221,1789388429048910315,144.094,0.475,1
237,1789388429049430403,1789388429049729889,299.486,0.475,1
238,1789388429050099086,1789388429050387258,288.172,0.475,1
239,1789388429050760225,1789388429050973198,212.973,0.0,0
240,1789388429051407015,1789388429051570851,163.836,0.475,1
241,1789388429052059952,1789388429052227983,168.031,0.475,1
242,1789388429052701830,1789388429052903574,201.744,0.475,1
243,1789388429053360751,1789388429053571482,210.731,0.475,1
244,1789388429053968946,1789388429054159446,190.5,0.0,0
245,1789388429054611717,1789388429054787625,175.908,0.475,1
246,1789388429055233795,1789388429055365677,131.882,0.475,1
247,1789388429055844450,1789388429056063832,219.382,0.475,1
248,1789388429056463761,1789388429056576612,112.851,0.475,1
249,1789388429057081234,1789388429057278968,197.734,0.475,1
250,1789388429057696304,1789388429057870003,173.699,0.475,1
251,1789388429058297393,1789388429058502560,205.167,0.475,1
252,1789388429058902379,1789388429059069479,167.1,0.0,0
253,1789388429059512855,1789388429059761643,248.788,0.475,1
254,1789388429060196509,1789388429060322671,126.162,0.475,1
255,1789388429060803447,1789388429060924031,120.584,0.475,1
256,1789388429061423812,1789388429061652146,228.334,0.475,1
257,1789388429062048800,1789388429062225199,176.399,0.475,1
258,1789388429062658905,1789388429062811672,152.767,0.475,1
259,1789388429063265113,1789388429063351651,86.538,0.475,1
260,1789388429063870589,1789388429064003506,132.917,0.0,0
261,1789388429064478874,1789388429064605466,126.592,0.475,1
262,1789388429065081546,1789388429065197602,116.056,0.475,1
263,1789388429065678939,1789388429065778165,99.226,0.475,1
264,1789388429066278739,1789388429066384100,105.361,0.475,1
265,1789388429066882846,1789388429067005388,122.542,0.475,1
266,1789388429067477527,1789388429067591822,114.295,0.475,1
267,1789388429068071414,1789388429068208640,137.226,0.475,1
268,1789388429068704159,1789388429068857683,153.524,0.475,1
269,1789388429069365569,1789388429069527352,161.783,0.0,0
270,1789388429069950125,1789388429070041116,90.991,0.475,1
271,1789388429070540137,1789388429070737922,197.785,0.475,1
272,1789388429071148670,1789388429071270740,122.07,0.475,1
273,1789388429071815458,1789388429071925460,110.002,0.475,1
274,1789388429072415882,1789388429072537037,121.155,0.475,1
275,1789388429073070534,1789388429073228025,157.491,0.475,1
276,1789388429073714117,1789388429073865298,151.181,0.475,1
277,1789388429074339169,1789388429074475086,135.917,0.475,1
278,1789388429074920410,1789388429075079778,159.368,0.475,1
279,1789388429075581954,1789388429075719920,137.966,0.475,1
280,1789388429076226252,1789388429076413998,187.746,0.475,1
281,1789388429076892545,1789388429077021729,129.184,0.0,0
282,1789388429077544986,1789388429077780505,235.519,0.475,1
283,1789388429078129772,1789388429078234136,104.364,0.475,1
284,1789388429078715982,1789388429078798780,82.798,0.475,1
285,1789388429079336514,1789388429079412231,75.717,0.475,1
286,1789388429079925195,1789388429080024061,98.866,0.0,0
287,1789388429080514914,1789388429080613946,99.032,0.475,1
288,1789388429081176804,1789388429081269743,92.939,0.475,1
289,1789388429081804332,1789388429081944222,139.89,0.475,1
290,1789388429082420640,1789388429082551887,131.247,0.475,1
291,1789388429083006273,1789388429083142614,136.341,0.475,1
292,1789388429083614942,1789388429083743194,128.252,0.0,0
293,1789388429084187496,1789388429084330777,143.281,0.0,0
294,1789388429084765131,1789388429084851805,86.674,0.475,1
295,1789388429085382553,1789388429085515733,133.18,0.0,0
296,1789388429085998719,1789388429086138499,139.78,0.475,1
297,1789388429086589499,1789388429086714311,124.812,0.475,1
298,1789388429087220232,1789388429087297535,77.303,0.0,0
299,1789388429087806491,1789388429087913499,107.008,0.475,1
300,1789388429088396220,1789388429088512409,116.189,0.475,1
301,1789388429089044149,1789388429089233111,188.962,0.475,1
302,1789388429089787581,1789388429089909586,122.005,0.475,1
303,1789388429090394485,1789388429090513905,119.42,0.475,1
304,1789388429091024008,1789388429091113594,89.586,0.0,0
305,1789388429091640285,1789388429091783373,143.088,0.475,1
306,1789388429092264174,1789388429092387028,122.854,0.0,0
307,1789388429092933628,1789388429093032413,98.785,0.475,1
308,1789388429093518934,1789388429093644790,125.856,0.475,1
309,1789388429094116362,1789388429094269815,153.453,0.475,1
310,1789388429094707540,1789388429094788726,81.186,0.475,1
311,1789388429095292193,1789388429095431383,139.19,0.0,0
312,1789388429095874289,1789388429095950697,76.408,0.475,1
313,1789388429096459612,1789388429096575855,116.243,0.475,1
314,1789388429097062591,1789388429097142518,79.927,0.475,1
315,1789388429097648230,1789388429097743917,95.687,0.475,1
316,1789388429098244641,1789388429098325212,80.571,0.475,1
317,1789388429098827081,1789388429098923917,96.836,0.0,0
318,1789388429099415474,1789388429099543293,127.819,0.475,1
319,1789388429100115490,1789388429100224171,108.681,0.475,1
320,1789388429100696443,1789388429100759558,63.115,0.475,1
321,1789388429101281594,1789388429101393325,111.731,0.475,1
322,1789388429101867298,1789388429101959664,92.366,0.0,0
323,1789388429102517727,1789388429102627298,109.571,0.0,0
324,1789388429103131268,1789388429103207616,76.348,0.475,1
325,1789388429103730015,1789388429103867073,137.058,0.475,1
326,1789388429104349913,1789388429104486913,137.0,0.475,1
327,1789388429104948472,1789388429105035836,87.364,0.475,1
328,1789388429105546535,1789388429105636187,89.652,0.0,0
329,1789388429106136755,1789388429106290500,153.745,0.475,1
330,1789388429106823489,1789388429107151206,327.717,0.475,1
331,1789388429107452053,1789388429107585157,133.104,0.475,1
332,1789388429108068493,1789388429108216286,147.793,0.475,1
333,1789388429108723736,1789388429108938087,214.351,0.475,1
334,1789388429109345379,1789388429109528652,183.273,0.475,1
335,1789388429109962792,1789388429110145964,183.172,0.475,1
336,1789388429110581335,1789388429110768535,187.2,0.475,1
337,1789388429111199759,1789388429111371705,171.946,0.475,1
338,1789388429111820082,1789388429111964924,144.842,0.475,1
339,1789388429112415097,1789388429112565151,150.054,0.475,1
340,1789388429113013913,1789388429113199220,185.307,0.475,1
341,1789388429113625725,1789388429113741984,116.259,0.475,1
342,1789388429114264304,1789388429114456020,191.716,0.0,0
343,1789388429114885443,1789388429115030337,144.894,0.475,1
344,1789388429115516874,1789388429115675868,158.994,0.475,1
345,1789388429116121986,1789388429116240295,118.309,0.475,1
346,1789388429116746403,1789388429116975107,228.704,0.0,0
347,1789388429117365542,1789388429117529763,164.221,0.475,1
348,1789388429117976576,1789388429118159877,183.301,0.475,1
349,1789388429118626776,1789388429118762639,135.863,0.475,1
350,1789388429119219668,1789388429119340542,120.874,0.0,0
351,1789388429119816815,1789388429119972185,155.37,0.475,1
352,1789388429120441042,1789388429120569483,128.441,0.475,1
353,1789388429121030559,1789388429121204277,173.718,0.475,1
354,1789388429121650115,1789388429121828032,177.917,0.475,1
355,1789388429122238673,1789388429122350443,111.77,0.475,1
356,1789388429122834542,1789388429122937101,102.559,0.475,1
357,1789388429123425711,1789388429123552624,126.913,0.475,1
358,1789388429124014827,1789388429124143074,128.247,0.475,1
359,1789388429124614103,1789388429124696876,82.773,0.475,1
360,1789388429125196176,1789388429125341543,145.367,0.475,1
361,1789388429125818455,1789388429125903503,85.048,0.475,1
362,1789388429126404232,1789388429126595350,191.118,0.475,1
363,1789388429127034839,1789388429127152954,118.115,0.475,1
364,1789388429127695227,1789388429127824552,129.325,0.475,1
365,1789388429128287445,1789388429128444625,157.18,0.475,1
366,1789388429128881404,1789388429128997807,116.403,0.475,1
367,1789388429129477089,1789388429129625739,148.65,0.475,1
368,1789388429130070824,1789388429130186635,115.811,0.475,1
369,1789388429130653956,1789388429130824166,170.21,0.475,1
370,1789388429131300768,1789388429131449520,148.752,0.475,1
371,1789388429131932900,1789388429132100207,167.307,0.475,1
372,1789388429132514892,1789388429132631659,116.767,0.475,1
373,1789388429133182976,1789388429133341748,158.772,0.475,1
374,1789388429133777997,1789388429133933965,155.968,0.475,1
375,1789388429134364171,1789388429134554503,190.332,0.475,1
376,1789388429134963857,1789388429135129571,165.714,0.475,1
377,1789388429135569325,1789388429135762271,192.946,0.0,0
378,1789388429136182315,1789388429136342548,160.233,0.0,0
379,1789388429136791092,1789388429136958410,167.318,0.475,1
380,1789388429137388776,1789388429137565963,177.187,0.475,1
381,1789388429137990376,1789388429138106310,115.934,0.475,1
382,1789388429138587478,1789388429138764597,177.119,0.475,1
383,1789388429139182926,1789388429139370521,187.595,0.475,1
384,1789388429139792241,1789388429139963742,171.501,0.475,1
385,1789388429140420060,1789388429140683900,263.84,0.0,0
386,1789388429141059638,1789388429141302633,242.995,0.475,1
387,1789388429141701846,1789388429141842780,140.934,0.475,1
388,1789388429142311217,1789388429142517916,206.699,0.475,1
389,1789388429142983673,1789388429143187417,203.744,0.475,1
390,1789388429143625244,1789388429143920262,295.018,0.475,1
391,1789388429144269942,1789388429144652884,382.942,0.475,1
392,1789388429144887543,1789388429145128203,240.66,0.475,1
393,1789388429145500894,1789388429145704637,203.743,0.475,1
394,1789388429146120423,1789388429146255044,134.621,0.475,1
395,1789388429146708504,1789388429146802134,93.63,0.0,0
396,1789388429147291704,1789388429147392710,101.006,0.475,1
397,1789388429147917340,1789388429148110135,192.795,0.475,1
398,1789388429148491131,1789388429148641083,149.952,0.475,1
399,1789388429149101300,1789388429149217544,116.244,0.475,1
400,1789388429149678448,1789388429149805710,127.262,0.475,1
401,1789388429150272922,1789388429150386489,113.567,0.475,1
402,1789388429150867576,1789388429151025000,157.424,0.0,0
403,1789388429151469049,1789388429151623141,154.092,0.475,1
404,1789388429152064997,1789388429152190452,125.455,0.475,1
405,1789388429152658100,1789388429152852935,194.835,0.475,1
406,1789388429153312312,1789388429153486538,174.226,0.475,1
407,1789388429153891101,1789388429154088764,197.663,0.475,1
408,1789388429154516906,1789388429154711768,194.862,0.475,1
409,1789388429155106385,1789388429155213551,107.166,0.475,1
410,1789388429155691831,1789388429155796061,104.23,0.0,0
411,1789388429156346875,1789388429156506245,159.37,0.0,0
412,1789388429156963516,1789388429157114312,150.796,0.475,1
413,1789388429157547406,1789388429157648139,100.733,0.0,0
414,1789388429158135971,1789388429158262290,126.319,0.475,1
415,1789388429158730365,1789388429158834458,104.093,0.475,1
416,1789388429159389547,1789388429159565841,176.294,0.475,1
417,1789388429159981558,1789388429160120821,139.263,0.475,1
418,1789388429160581293,1789388429160696442,115.149,0.475,1
419,1789388429161191384,1789388429161331570,140.186,0.475,1
420,1789388429161787208,1789388429161895903,108.695,0.0,0
421,1789388429162399107,1789388429162505203,106.096,0.475,1
422,1789388429162987017,1789388429163106626,119.609,0.475,1
423,1789388429163620010,1789388429163814425,194.415,0.475,1
424,1789388429164264288,1789388429164409617,145.329,0.475,1
425,1789388429164842282,1789388429164961495,119.213,0.475,1
426,1789388429165461551,1789388429165658583,197.032,0.0,0
427,1789388429166102698,1789388429166296103,193.405,0.0,0
428,1789388429166683427,1789388429166757801,74.374,0.475,1
429,1789388429167330449,1789388429167488158,157.709,0.475,1
430,1789388429167912382,1789388429168045215,132.833,0.0,0
431,1789388429168565037,1789388429168672666,107.629,0.475,1
432,1789388429169167627,1789388429169259196,91.569,0.475,1
433,1789388429169783458,1789388429169963411,179.953,0.475,1
434,1789388429170424264,1789388429170618590,194.326,0.475,1
435,1789388429171090296,1789388429171319628,229.332,0.475,1
436,1789388429171668738,1789388429171835995,167.257,0.475,1
437,1789388429172308507,1789388429172473430,164.923,0.475,1
438,1789388429172949178,1789388429173114140,164.962,0.475,1
439,1789388429173567574,1789388429173732380,164.806,0.475,1
440,1789388429174204920,1789388429174363322,158.402,0.475,1
441,1789388429174780441,1789388429174869411,88.97,0.475,1
442,1789388429175433389,1789388429175604918,171.529,0.475,1
443,1789388429176018062,1789388429176123729,105.667,0.475,1
444,1789388429176599408,1789388429176682003,82.595,0.475,1
445,1789388429177240286,1789388429177411791,171.505,0.475,1
446,1789388429177886032,1789388429178055135,169.103,0.475,1
447,1789388429178525101,1789388429178658209,133.108,0.475,1
448,1789388429179164581,1789388429179347697,183.116,0.475,1
449,1789388429179740007,1789388429179910605,170.598,0.475,1
450,1789388429180379608,1789388429180541198,161.59,0.475,1
451,1789388429181021435,1789388429181189949,168.514,0.475,1
452,1789388429181592609,1789388429181752208,159.599,0.475,1
453,1789388429182171378,1789388429182369773,198.395,0.0,0
454,1789388429182778719,1789388429182846503,67.784,0.475,1
455,1789388429183422428,1789388429183587139,164.711,0.475,1
456,1789388429184008164,1789388429184196978,188.814,0.475,1
457,1789388429184637175,1789388429184770729,133.554,0.475,1
458,1789388429185284457,1789388429185450024,165.567,0.475,1
459,1789388429185923892,1789388429186088323,164.431,0.475,1
460,1789388429186597299,1789388429186690632,93.333,0.475,1
461,1789388429187239821,1789388429187424185,184.364,0.0,0
462,1789388429187874748,1789388429188053814,179.066,0.475,1
463,1789388429188497575,1789388429188618142,120.567,0.475,1
464,1789388429189074723,1789388429189216423,141.7,0.475,1
465,1789388429189651779,1789388429189817913,166.134,0.475,1
466,1789388429190292302,1789388429190475260,182.958,0.0,0
467,1789388429190863659,1789388429191047857,184.198,0.475,1
468,1789388429191505620,1789388429191692504,186.884,0.475,1
469,1789388429192085627,1789388429192168629,83.002,0.475,1
470,1789388429192667001,1789388429192751045,84.044,0.475,1
471,1789388429193308187,1789388429193483074,174.887,0.475,1
472,1789388429193945817,1789388429194118449,172.632,0.475,1
473,1789388429194548661,1789388429194725485,176.824,0.475,1
474,1789388429195209599,1789388429195393189,183.59,0.475,1
475,1789388429195791653,1789388429195865455,73.802,0.475,1
476,1789388429196404239,1789388429196570205,165.966,0.475,1
477,1789388429196982779,1789388429197141696,158.917,0.475,1
478,1789388429197565919,1789388429197755731,189.812,0.475,1
479,1789388429198141586,1789388429198283512,141.926,0.475,1
480,1789388429198720852,1789388429198820780,99.928,0.475,1
481,1789388429199341610,1789388429199463513,121.903,0.475,1
482,1789388429199936158,1789388429200091940,155.782,0.0,0
483,1789388429200536420,1789388429200753644,217.224,0.475,1
484,1789388429201132910,1789388429201294493,161.583,0.475,1
485,1789388429201742063,1789388429201928968,186.905,0.475,1
486,1789388429202358450,1789388429202480009,121.559,0.475,1
487,1789388429202953612,1789388429203109302,155.69,0.475,1
488,1789388429203547264,1789388429203665429,118.165,0.475,1
489,1789388429204145546,1789388429204286544,140.998,0.475,1
490,1789388429204741296,1789388429204835348,94.052,0.475,1
491,1789388429205336712,1789388429205402788,66.076,0.475,1
492,1789388429205933450,1789388429206055862,122.412,0.475,1
493,1789388429206530763,1789388429206662369,131.606,0.475,1
494,1789388429207125922,1789388429207247270,121.348,0.475,1
495,1789388429207761804,1789388429207903137,141.333,0.475,1
