seq,ts_emit,w,bit
381,1789388429137990376,0.475,1
382,1789388429138587478,0.475,1
383,1789388429139182926,0.475,1
384,1789388429139792241,0.475,1
385,1789388429140420060,0.0,0
386,1789388429141059638,0.475,1
387,1789388429141701846,0.475,1
388,1789388429142311217,0.475,1
389,1789388429142983673,0.475,1
390,1789388429143625244,0.475,1
391,1789388429144269942,0.475,1
392,1789388429144887543,0.475,1
393,1789388429145500894,0.475,1
394,1789388429146120423,0.475,1
395,1789388429146708504,0.0,0
396,1789388429147291704,0.475,1
397,1789388429147917340,0.475,1
398,1789388429148491131,0.475,1
399,1789388429149101300,0.475,1
400,1789388429149678448,0.475,1
401,1789388429150272922,0.475,1
402,1789388429150867576,0.0,0
403,1789388429151469049,0.475,1
404,1789388429152064997,0.475,1
405,1789388429152658100,0.475,1
406,1789388429153312312,0.475,1
407,1789388429153891101,0.475,1
408,1789388429154516906,0.475,1
409,1789388429155106385,0.475,1
410,1789388429155691831,0.0,0
411,1789388429156346875,0.0,0
412,1789388429156963516,0.475,1
413,1789388429157547406,0.0,0
414,1789388429158135971,0.475,1
415,1789388429158730365,0.475,1
416,1789388429159389547,0.475,1
417,1789388429159981558,0.475,1
418,1789388429160581293,0.475,1
419,1789388429161191384,0.475,1
420,1789388429161787208,0.0,0
421,1789388429162399107,0.475,1
422,1789388429162987017,0.475,1
423,1789388429163620010,0.475,1
424,1789388429164264288,0.475,1
425,1789388429164842282,0.475,1
426,1789388429165461551,0.0,0
427,1789388429166102698,0.0,0
428,1789388429166683427,0.475,1
429,1789388429167330449,0.475,1
430,1789388429167912382,0.0,0
431,1789388429168565037,0.475,1
432,1789388429169167627,0.475,1
433,1789388429169783458,0.475,1
434,1789388429170424264,0.475,1
435,1789388429171090296,0.475,1
436,1789388429171668738,0.475,1
437,1789388429172308507,0.475,1
438,1789388429172949178,0.475,1
439,1789388429173567574,0.475,1
440,1789388429174204920,0.475,1
441,1789388429174780441,0.475,1
442,1789388429175433389,0.475,1
443,1789388429176018062,0.475,1
444,1789388429176599408,0.475,1
445,1789388429177240286,0.475,1
446,1789388429177886032,0.475,1
447,1789388429178525101,0.475,1
448,1789388429179164581,0.475,1
449,1789388429179740007,0.475,1
450,1789388429180379608,0.475,1
451,1789388429181021435,0.475,1
452,1789388429181592609,0.475,1
453,1789388429182171378,0.0,0
454,1789388429182778719,0.475,1
455,1789388429183422428,0.475,1
456,1789388429184008164,0.475,1
457,1789388429184637175,0.475,1
458,1789388429185284457,0.475,1
459,1789388429185923892,0.475,1
460,1789388429186597299,0.475,1
461,1789388429187239821,0.0,0
462,1789388429187874748,0.475,1
463,1789388429188497575,0.475,1
464,1789388429189074723,0.475,1
465,1789388429189651779,0.475,1
466,1789388429190292302,0.0,0
467,1789388429190863659,0.475,1
468,1789388429191505620,0.475,1
469,1789388429192085627,0.475,1
470,1789388429192667001,0.475,1
471,1789388429193308187,0.475,1
472,1789388429193945817,0.475,1
473,1789388429194548661,0.475,1
474,1789388429195209599,0.475,1
475,1789388429195791653,0.475,1
476,1789388429196404239,0.475,1
477,1789388429196982779,0.475,1
478,1789388429197565919,0.475,1
479,1789388429198141586,0.475,1
480,1789388429198720852,0.475,1
481,1789388429199341610,0.475,1
482,1789388429199936158,0.0,0
483,1789388429200536420,0.475,1
484,1789388429201132910,0.475,1
485,1789388429201742063,0.475,1
486,1789388429202358450,0.475,1
487,1789388429202953612,0.475,1
488,1789388429203547264,0.475,1
489,1789388429204145546,0.475,1
490,1789388429204741296,0.475,1
491,1789388429205336712,0.475,1
492,1789388429205933450,0.475,1
493,1789388429206530763,0.475,1
494,1789388429207125922,0.475,1
495,1789388429207761804,0.475,1
496,1789388429208361140,0.475,1
497,1789388429208965453,0.475,1
498,1789388429209554463,0.475,1
499,1789388429210149105,0.475,1
500,1789388429210774238,0.475,1
501,1789388429211396628,0.475,1
502,1789388429212027532,0.475,1
503,1789388429212625586,0.475,1
504,1789388429213279305,0.475,1
505,1789388429213872430,0.475,1
506,1789388429214466366,0.475,1
507,1789388429215069345,0.475,1
508,1789388429215669474,0.475,1
509,1789388429216265435,0.475,1
510,1789388429216860159,0.475,1
511,1789388429217462829,0.475,1
512,1789388429218086616,0.475,1
513,1789388429218728039,0.475,1
514,1789388429219367913,0.475,1
515,1789388429220000421,0.475,1
516,1789388429220612265,0.475,1
517,1789388429221217986,0.475,1
518,1789388429221835850,0.475,1
519,1789388429222496757,0.475,1
520,1789388429223292497,0.475,1
521,1789388429223911518,0.475,1
522,1789388429224553331,0.475,1
523,1789388429225194071,0.475,1
524,1789388429225807018,0.475,1
525,1789388429226413974,0.0,0
526,1789388429227079100,0.475,1
527,1789388429227714486,0.475,1
528,1789388429228409202,0.0,0
529,1789388429229047972,0.475,1
530,1789388429229663485,0.475,1
531,1789388429230261534,0.475,1
532,1789388429230861523,0.475,1
533,1789388429231444804,0.0,0
534,1789388429232032460,0.475,1
535,1789388429232642796,0.475,1
536,1789388429233260286,0.475,1
537,1789388429233859439,0.475,1
538,1789388429234508361,0.475,1
539,1789388429235187790,0.475,1
540,1789388429235828820,0.0,0
541,1789388429236500917,0.475,1
542,1789388429237095514,0.475,1
543,1789388429237695133,0.475,1
544,1789388429238298417,0.475,1
545,1789388429238891937,0.0,0
546,1789388429239557054,0.475,1
547,1789388429240150750,0.475,1
548,1789388429240750414,0.475,1
549,1789388429241399165,0.475,1
550,1789388429242045430,0.475,1
551,1789388429242623461,0.475,1
552,1789388429243270057,0.0,0
553,1789388429243845450,0.475,1
554,1789388429244427449,0.475,1
555,1789388429245049245,0.0,0
556,1789388429245650889,0.475,1
557,1789388429246231744,0.475,1
558,1789388429246830093,0.475,1
559,1789388429247482182,0.475,1
560,1789388429248076641,0.475,1
561,1789388429248701562,0.475,1
562,1789388429249399409,0.475,1
563,1789388429250053916,0.475,1
564,1789388429250681884,0.475,1
565,1789388429251295031,0.475,1
566,1789388429251877120,0.475,1
567,1789388429252486255,0.475,1
568,1789388429253068793,0.475,1
569,1789388429253678294,0.0,0
570,1789388429254287261,0.475,1
571,1789388429254886618,0.475,1
572,1789388429255551746,0.475,1
573,1789388429256145208,0.475,1
574,1789388429256746560,0.475,1
575,1789388429257346317,0.475,1
576,1789388429257939253,0.475,1
577,1789388429258526292,0.475,1
578,1789388429259139871,0.475,1
579,1789388429259726619,0.475,1
580,1789388429260333978,0.475,1
