count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
374,123337,0,123337,123337,0,0,1
375,256463,0,256463,256463,0,0,0
376,220664,0,220664,220664,0,0,1
377,152109,0,152109,152109,0,0,1
378,435184,0,435184,435184,0,0,0
379,80760,0,80760,80760,0,0,1
380,446835,0,446835,446835,0,0,0
381,84574,0,84574,84574,0,0,0
382,853143,0,853143,853143,0,0,1
383,347821,0,347821,347821,0,0,0
384,56660,0,56660,56660,0,0,0
385,138435,0,138435,138435,0,0,1
386,136251,0,136251,136251,0,0,0
387,105456,0,105456,105456,0,0,0
388,104259,0,104259,104259,0,0,0
389,174194,0,174194,174194,0,0,1
390,96619,0,96619,96619,0,0,0
391,122445,0,122445,122445,0,0,0
392,191096,0,191096,191096,0,0,0
393,77654,0,77654,77654,0,0,0
394,135841,0,135841,135841,0,0,0
395,130038,0,130038,130038,0,0,1
396,145151,0,145151,145151,0,0,0
397,282879,0,282879,282879,0,0,0
398,128839,0,128839,128839,0,0,1
399,646851,0,646851,646851,0,0,1
400,139221,0,139221,139221,0,0,1
401,713784,0,713784,713784,0,0,1
402,206896,0,206896,206896,0,0,1
403,169474,0,169474,169474,0,0,1
404,163168,0,163168,163168,0,0,0
405,139677,0,139677,139677,0,0,0
406,55274,0,55274,55274,0,0,0
407,2175878,0,2175878,2175878,0,0,1
408,1667846,0,1667846,1667846,0,0,1
409,1164134,0,1164134,1164134,0,0,1
410,660596,0,660596,660596,0,0,1
411,156200,0,156200,156200,0,0,1
412,201416,0,201416,201416,0,0,0
413,164425,0,164425,164425,0,0,0
414,1041288,0,1041288,1041288,0,0,0
415,534353,0,534353,534353,0,0,1
416,173584,0,173584,173584,0,0,0
417,262381,0,262381,262381,0,0,0
418,193497,0,193497,193497,0,0,0
419,128444,0,128444,128444,0,0,1
420,90129,0,90129,90129,0,0,0
421,1494730,0,1494730,1494730,0,0,1
422,977471,0,977471,977471,0,0,1
423,472006,0,472006,472006,0,0,0
424,105039,0,105039,105039,0,0,1
425,1507965,0,1507965,1507965,0,0,1
426,999077,0,999077,999077,0,0,0
427,495090,0,495090,495090,0,0,0
428,74375,0,74375,74375,0,0,1
429,328449,0,328449,328449,0,0,1
430,182575,0,182575,182575,0,0,1
431,116608,0,116608,116608,0,0,0
432,1513422,0,1513422,1513422,0,0,1
433,996078,0,996078,996078,0,0,0
434,492289,0,492289,492289,0,0,0
435,112879,0,112879,112879,0,0,0
436,93809,0,93809,93809,0,0,1
437,523233,0,523233,523233,0,0,0
438,101905,0,101905,101905,0,0,1
439,286317,0,286317,286317,0,0,0
440,249339,0,249339,249339,0,0,1
441,1298275,0,1298275,1298275,0,0,0
442,793913,0,793913,793913,0,0,1
443,290181,0,290181,290181,0,0,1
444,618898,0,618898,618898,0,0,1
445,110018,0,110018,110018,0,0,1
446,133909,0,133909,133909,0,0,0
447,242624,0,242624,242624,0,0,0
448,1366628,0,1366628,1366628,0,0,1
449,858145,0,858145,858145,0,0,1
450,354290,0,354290,354290,0,0,0
451,99287,0,99287,99287,0,0,0
452,2419516,0,2419516,2419516,0,0,0
453,1905014,0,1905014,1905014,0,0,1
454,1400062,0,1400062,1400062,0,0,0
455,896233,0,896233,896233,0,0,1
456,404890,0,404890,404890,0,0,1
457,148179,0,148179,148179,0,0,1
458,168189,0,168189,168189,0,0,1
459,141996,0,141996,141996,0,0,1
460,3178457,0,3178457,3178457,0,0,1
461,2671024,0,2671024,2671024,0,0,0
462,2166880,0,2166880,2166880,0,0,1
463,1661098,0,1661098,1661098,0,0,1
466,149589,0,149589,149589,0,0,1
464,1157373,0,1157373,1157373,0,0,0
465,653696,0,653696,653696,0,0,1
467,79222,0,79222,79222,0,0,0
468,1278200,0,1278200,1278200,0,0,0
469,773270,0,773270,773270,0,0,0
470,266656,0,266656,266656,0,0,0
471,135605,0,135605,135605,0,0,0
472,1030129,0,1030129,1030129,0,0,1
473,524686,0,524686,524686,0,0,1
474,110284,0,110284,110284,0,0,1
475,776435,0,776435,776435,0,0,1
476,265769,0,265769,265769,0,0,0
477,252407,0,252407,252407,0,0,0
478,573527,0,573527,573527,0,0,0
479,64044,0,64044,64044,0,0,1
480,235911,0,235911,235911,0,0,0
481,632905,0,632905,632905,0,0,1
482,126843,0,126843,126843,0,0,0
483,130208,0,130208,130208,0,0,0
484,113093,0,113093,113093,0,0,1
485,157191,0,157191,157191,0,0,0
486,138595,0,138595,138595,0,0,1
487,1862921,0,1862921,1862921,0,0,1
488,1355902,0,1355902,1355902,0,0,1
489,850768,0,850768,850768,0,0,0
490,344528,0,344528,344528,0,0,1
491,777314,0,777314,777314,0,0,0
492,270772,0,270772,270772,0,0,0
493,1384793,0,1384793,1384793,0,0,1
494,877981,0,877981,877981,0,0,0
495,373546,0,373546,373546,0,0,0
496,399535,0,399535,399535,0,0,1
497,534069,0,534069,534069,0,0,0
498,294070,0,294070,294070,0,0,0
499,103143,0,103143,103143,0,0,1
500,198957,0,198957,198957,0,0,0
501,117565,0,117565,117565,0,0,1
502,130877,0,130877,130877,0,0,1
503,127290,0,127290,127290,0,0,1
504,172712,0,172712,172712,0,0,0
505,509435,0,509435,509435,0,0,0
506,136207,0,136207,136207,0,0,0
507,2260461,0,2260461,2260461,0,0,0
508,1752049,0,1752049,1752049,0,0,1
509,1246065,0,1246065,1246065,0,0,1
510,742304,0,742304,742304,0,0,0
511,238786,0,238786,238786,0,0,1
512,95742,0,95742,95742,0,0,0
513,699432,0,699432,699432,0,0,1
514,189628,0,189628,189628,0,0,1
515,465822,0,465822,465822,0,0,0
516,188841,0,188841,188841,0,0,1
517,721899,0,721899,721899,0,0,0
518,208786,0,208786,208786,0,0,0
519,179629,0,179629,179629,0,0,1
520,460708,0,460708,460708,0,0,0
521,85034,0,85034,85034,0,0,1
522,236944,0,236944,236944,0,0,1
523,371628,0,371628,371628,0,0,0
524,53662,0,53662,53662,0,0,1
525,204196,0,204196,204196,0,0,1
526,206441,0,206441,206441,0,0,1
527,125035,0,125035,125035,0,0,1
528,101245,0,101245,101245,0,0,1
529,90946,0,90946,90946,0,0,0
530,74128,0,74128,74128,0,0,1
531,162144,0,162144,162144,0,0,1
532,279668,0,279668,279668,0,0,1
533,88755,0,88755,88755,0,0,1
534,905443,0,905443,905443,0,0,0
535,390638,0,390638,390638,0,0,1
536,837292,0,837292,837292,0,0,0
537,322263,0,322263,322263,0,0,1
538,75503,0,75503,75503,0,0,0
539,164118,0,164118,164118,0,0,1
540,823520,0,823520,823520,0,0,0
541,316370,0,316370,316370,0,0,1
542,525114,0,525114,525114,0,0,1
543,166418,0,166418,166418,0,0,0
544,488294,0,488294,488294,0,0,0
545,87753,0,87753,87753,0,0,1
546,1224336,0,1224336,1224336,0,0,0
547,714256,0,714256,714256,0,0,1
548,206711,0,206711,206711,0,0,0
549,785679,0,785679,785679,0,0,1
550,278297,0,278297,278297,0,0,1
551,165357,0,165357,165357,0,0,1
552,164280,0,164280,164280,0,0,0
553,248011,0,248011,248011,0,0,0
554,241133,0,241133,241133,0,0,1
555,109617,0,109617,109617,0,0,1
556,516512,0,516512,516512,0,0,0
557,183985,0,183985,183985,0,0,1
558,390906,0,390906,390906,0,0,0
559,145564,0,145564,145564,0,0,1
560,279802,0,279802,279802,0,0,1
561,124711,0,124711,124711,0,0,0
562,541404,0,541404,541404,0,0,0
563,144253,0,144253,144253,0,0,1
564,139188,0,139188,139188,0,0,1
565,100415,0,100415,100415,0,0,0
566,272158,0,272158,272158,0,0,1
567,143914,0,143914,143914,0,0,1
568,87903,0,87903,87903,0,0,0
569,97536,0,97536,97536,0,0,1
570,81775,0,81775,81775,0,0,0
571,95495,0,95495,95495,0,0,0
572,110159,0,110159,110159,0,0,0
573,88236,0,88236,88236,0,0,1
574,65577,0,65577,65577,0,0,1
