count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,success
441,555971,0,555971,555971,0,0,0
442,50552,0,50552,50552,0,0,1
443,1219400,0,1219400,1219400,0,0,0
444,714139,0,714139,714139,0,0,0
445,209543,0,209543,209543,0,0,0
446,400076,0,400076,400076,0,0,0
447,69540,0,69540,69540,0,0,1
448,246283,0,246283,246283,0,0,0
449,217134,0,217134,217134,0,0,1
450,124704,0,124704,124704,0,0,0
451,102226,0,102226,102226,0,0,1
452,199349,0,199349,199349,0,0,1
453,106221,0,106221,106221,0,0,1
454,924423,0,924423,924423,0,0,1
455,419774,0,419774,419774,0,0,0
456,73518,0,73518,73518,0,0,0
457,288858,0,288858,288858,0,0,1
458,478093,0,478093,478093,0,0,1
459,48642,0,48642,48642,0,0,0
460,161703,0,161703,161703,0,0,0
461,159756,0,159756,159756,0,0,0
462,130699,0,130699,130699,0,0,1
463,230117,0,230117,230117,0,0,0
464,138294,0,138294,138294,0,0,1
465,242399,0,242399,242399,0,0,1
466,74417,0,74417,74417,0,0,1
467,324709,0,324709,324709,0,0,1
468,120915,0,120915,120915,0,0,0
469,232856,0,232856,232856,0,0,0
470,148599,0,148599,148599,0,0,1
471,454397,0,454397,454397,0,0,1
472,188039,0,188039,188039,0,0,1
473,848042,0,848042,848042,0,0,1
474,342234,0,342234,342234,0,0,0
475,1281457,0,1281457,1281457,0,0,1
476,777319,0,777319,777319,0,0,0
477,271413,0,271413,271413,0,0,1
478,934846,0,934846,934846,0,0,1
479,430625,0,430625,430625,0,0,1
480,1432387,0,1432387,1432387,0,0,0
481,925691,0,925691,925691,0,0,0
482,421700,0,421700,421700,0,0,0
483,62273,0,62273,62273,0,0,0
484,394806,0,394806,394806,0,0,0
485,1333992,0,1333992,1333992,0,0,1
486,829907,0,829907,829907,0,0,1
487,326106,0,326106,326106,0,0,1
488,916774,0,916774,916774,0,0,0
489,409210,0,409210,409210,0,0,0
490,71682,0,71682,71682,0,0,0
491,831153,0,831153,831153,0,0,0
492,327274,0,327274,327274,0,0,1
493,439211,0,439211,439211,0,0,0
494,774738,0,774738,774738,0,0,0
495,270018,0,270018,270018,0,0,0
496,401862,0,401862,401862,0,0,0
497,3242753,0,3242753,3242753,0,0,1
498,2735844,0,2735844,2735844,0,0,1
499,2230952,0,2230952,2230952,0,0,0
500,1727747,0,1727747,1727747,0,0,0
