count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_rtt_ns
487,5565855,4830580,735275,39854663,12816144
488,5553074,4830580,722494,39854663,12816144
489,5509022,4830580,678442,39854663,12816144
490,5499537,4830580,668957,39854663,12816144
491,5493099,4830580,662519,39854663,12816144
492,5488036,4830580,657456,39854663,12816144
493,5481631,4830580,651051,39854663,12816144
494,5474923,4830580,644343,39854663,12816144
495,5468987,4830580,638407,39854663,12816144
496,5460314,4830580,629734,39854663,12816144
497,5450566,4830580,619986,39854663,12816144
498,5380470,4830580,549890,39854663,12816144
499,5367228,4830580,536648,39854663,12816144
500,5357595,4830580,527015,39854663,12816144
501,5350323,4830580,519743,39854663,12816144
502,5344246,4830580,513666,39854663,12816144
503,5338373,4830580,507793,39854663,12816144
504,5334580,4830580,504000,39854663,12816144
505,5329820,4830580,499240,39854663,12816144
506,5324946,4830580,494366,39854663,12816144
507,5318179,4830580,487599,39854663,12816144
508,5311022,4830580,480442,39854663,12816144
509,5298894,4830580,468314,39854663,12816144
510,5254400,4830580,423820,39854663,12816144
511,5244683,4830580,414103,39854663,12816144
512,5237962,4830580,407382,39854663,12816144
513,5230112,4830580,399532,39854663,12816144
514,5239797,4830580,409217,39854663,12816144
515,5230488,4830580,399908,39854663,12816144
516,5225274,4830580,394694,39854663,12816144
517,5213841,4830580,383261,39854663,12816144
518,5206619,4830580,376039,39854663,12816144
519,5200246,4830580,369666,39854663,12816144
520,5190133,4830580,359553,39854663,12816144
521,5185183,4830580,354603,39854663,12816144
522,5178764,4830580,348184,39854663,12816144
523,5150479,4830580,319899,39854663,12816144
524,5122204,4830580,291624,39854663,12816144
525,5113395,4830580,282815,39854663,12816144
526,5105692,4830580,275112,39854663,12816144
527,5100205,4830580,269625,39854663,12816144
528,5095727,4830580,265147,39854663,12816144
529,5091276,4830580,260696,39854663,12816144
530,5083504,4830580,252924,39854663,12816144
531,5075679,4830580,245099,39854663,12816144
532,5033387,4830580,202807,39854663,12816144
533,5024550,4830580,193970,39854663,12816144
534,5014600,4830580,184020,39854663,12816144
535,5008341,4830580,177761,39854663,12816144
536,5003090,4830580,172510,39854663,12816144
537,4998471,4830580,167891,39854663,12816144
538,4988510,4830580,157930,39854663,12816144
539,4948512,4830580,117932,39854663,12816144
540,4939871,4830580,109291,39854663,12816144
541,4935299,4830580,104719,39854663,12816144
542,4928541,4830580,97961,39854663,12816144
543,4923572,4830580,92992,39854663,12816144
544,4919522,4830580,88942,39854663,12816144
545,4915189,4830580,84609,39854663,12816144
546,4906516,4830580,75936,39854663,12816144
547,4866810,4830580,36230,39854663,12816144
548,4858430,4830580,27850,39854663,12816144
549,4851320,4830580,20740,39854663,12816144
550,4845320,4830580,14740,39854663,12816144
551,4840770,4830580,10190,39854663,12816144
552,4836350,4830580,5770,39854663,12816144
553,4830153,4830580,-427,39854663,12816144
554,4822175,4830580,-8405,39854663,12816144
555,4813193,4830580,-17387,39854663,12816144
556,4772597,4830580,-57983,39854663,12816144
557,4764105,4830580,-66475,39854663,12816144
558,4762203,4830580,-68377,39854663,12816144
559,5379852,4830580,549272,39854663,12816144
560,5370540,4830580,539960,39854663,12816144
561,5366646,4830580,536066,39854663,12816144
562,5361897,4830580,531317,39854663,12816144
563,5355094,4830580,524514,39854663,12816144
564,5314380,4830580,483800,39854663,12816144
565,5307466,4830580,476886,39854663,12816144
566,5303602,4830580,473022,39854663,12816144
567,5300067,4830580,469487,39854663,12816144
568,5296454,4830580,465874,39854663,12816144
569,5292739,4830580,462159,39854663,12816144
570,5289310,4830580,458730,39854663,12816144
571,5286036,4830580,455456,39854663,12816144
572,5282100,4830580,451520,39854663,12816144
573,5277883,4830580,447303,39854663,12816144
574,5269679,4830580,439099,39854663,12816144
575,5265523,4830580,434943,39854663,12816144
576,5262005,4830580,431425,39854663,12816144
577,5258573,4830580,427993,39854663,12816144
578,5262770,4830580,432190,39854663,12816144
579,5256906,4830580,426326,39854663,12816144
580,5252708,4830580,422128,39854663,12816144
581,5246888,4830580,416308,39854663,12816144
582,5242878,4830580,412298,39854663,12816144
583,5236840,4830580,406260,39854663,12816144
584,5232817,4830580,402237,39854663,12816144
585,5221100,4830580,390520,39854663,12816144
586,5217008,4830580,386428,39854663,12816144
587,5228547,4830580,397967,39854663,12816144
588,5227130,4830580,396550,39854663,12816144
589,5229069,4830580,398489,39854663,12816144
590,5227486,4830580,396906,39854663,12816144
591,5226267,4830580,395687,39854663,12816144
592,5229067,4830580,398487,39854663,12816144
593,5226091,4830580,395511,39854663,12816144
594,5224282,4830580,393702,39854663,12816144
595,5221704,4830580,391124,39854663,12816144
596,5220474,4830580,389894,39854663,12816144
597,5219371,4830580,388791,39854663,12816144
598,5216253,4830580,385673,39854663,12816144
599,5214494,4830580,383914,39854663,12816144
600,5211882,4830580,381302,39854663,12816144
601,5210072,4830580,379492,39854663,12816144
602,5208687,4830580,378107,39854663,12816144
603,5206546,4830580,375966,39854663,12816144
604,5203355,4830580,372775,39854663,12816144
605,5201532,4830580,370952,39854663,12816144
606,5198933,4830580,368353,39854663,12816144
607,5197277,4830580,366697,39854663,12816144
608,5195527,4830580,364947,39854663,12816144
609,5192876,4830580,362296,39854663,12816144
610,5191069,4830580,360489,39854663,12816144
611,5188628,4830580,358048,39854663,12816144
612,5187428,4830580,356848,39854663,12816144
613,5186012,4830580,355432,39854663,12816144
614,5183936,4830580,353356,39854663,12816144
615,5181451,4830580,350871,39854663,12816144
616,5179274,4830580,348694,39854663,12816144
617,5150527,4830580,319947,39854663,12816144
618,5142912,4830580,312332,39854663,12816144
619,5139553,4830580,308973,39854663,12816144
620,5136149,4830580,305569,39854663,12816144
621,5132436,4830580,301856,39854663,12816144
622,5127533,4830580,296953,39854663,12816144
623,5123442,4830580,292862,39854663,12816144
624,5120089,4830580,289509,39854663,12816144
625,5117139,4830580,286559,39854663,12816144
626,5113310,4830580,282730,39854663,12816144
627,5109219,4830580,278639,39854663,12816144
628,5104678,4830580,274098,39854663,12816144
629,5099416,4830580,268836,39854663,12816144
630,5096062,4830580,265482,39854663,12816144
631,5088984,4830580,258404,39854663,12816144
632,5084591,4830580,254011,39854663,12816144
633,5081151,4830580,250571,39854663,12816144
634,5077160,4830580,246580,39854663,12816144
635,5052575,4830580,221995,39854663,12816144
636,5029321,4830580,198741,39854663,12816144
637,5024637,4830580,194057,39854663,12816144
638,5020279,4830580,189699,39854663,12816144
639,5017393,4830580,186813,39854663,12816144
640,5014130,4830580,183550,39854663,12816144
641,5011153,4830580,180573,39854663,12816144
642,5007480,4830580,176900,39854663,12816144
643,5001217,4830580,170637,39854663,12816144
644,4992992,4830580,162412,39854663,12816144
645,4959518,4830580,128938,39854663,12816144
646,4951755,4830580,121175,39854663,12816144
647,4945996,4830580,115416,39854663,12816144
648,4947396,4830580,116816,39854663,12816144
649,4944585,4830580,114005,39854663,12816144
650,4941367,4830580,110787,39854663,12816144
651,4934613,4830580,104033,39854663,12816144
652,4901411,4830580,70831,39854663,12816144
653,4895316,4830580,64736,39854663,12816144
654,4890862,4830580,60282,39854663,12816144
655,4887170,4830580,56590,39854663,12816144
656,4882621,4830580,52041,39854663,12816144
657,4873758,4830580,43178,39854663,12816144
658,4882234,4830580,51654,39854663,12816144
