sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
41,1782212028397936121,1782212071451797870,1782212071451818930,1782212028398074148,43053861749,-43053744782,-43053803266,58483,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
42,1782212028398105468,1782212071452037230,1782212071452051750,1782212028398303284,43053931762,-43053748466,-43053840114,91648,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
43,1782212028398335643,1782212071452195360,1782212071452218930,1782212028398472861,43053859717,-43053746069,-43053802893,56824,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
44,1782212028398505310,1782212071452447090,1782212071452463340,1782212028398717946,43053941780,-43053745394,-43053843587,98193,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
45,1782212028398748975,1782212071452612600,1782212071452634100,1782212028398887422,43053863625,-43053746678,-43053805152,58473,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
46,1782212028398918512,1782212071452852320,1782212071452868870,1782212028399124068,43053933808,-43053744802,-43053839305,94503,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
47,1782212028399154697,1782212071453015800,1782212071453038200,1782212028399290794,43053861103,-43053747406,-43053804255,56848,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
48,1782212028399324424,1782212071453274520,1782212071453290110,1782212028399543159,43053950096,-43053746951,-43053848524,101572,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
49,1782212028399577999,1782212071453443710,1782212071453466310,1782212028399720196,43053865711,-43053746114,-43053805913,59798,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
50,1782212028399751485,1782212071453686930,1782212071453702860,1782212028399956161,43053935445,-43053746699,-43053841072,94373,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43053804808,-43053825574,-43053836984,-43053804808,18760.648240,8950,58473,79191,54964,90003,100058,58473
