sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns
48,1782212080317883110,1782212123372724145,1782212123372739755,1782212080318075687,43054841035,-43054664068,-43054752552,88483,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
49,1782212080318103976,1782212123372879685,1782212123372900815,1782212080318319722,43054775709,-43054581093,-43054678401,97308,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
50,1782212080318345141,1782212123373190225,1782212123373205855,1782212080318542157,43054845084,-43054663698,-43054754391,90693,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
51,1782212080318569377,1782212123373346015,1782212123373367305,1782212080318788963,43054776638,-43054578342,-43054677490,99148,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
52,1782212080318813812,1782212123373668995,1782212123373684535,1782212080319020788,43054855183,-43054663747,-43054759465,95718,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
53,1782212080319045367,1782212123373822895,1782212123373846235,1782212080319268243,43054777528,-43054577992,-43054677760,99768,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
54,1782212080319293103,1782212123374141555,1782212123374157035,1782212080319493279,43054848452,-43054663756,-43054756104,92348,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
55,1782212080319519328,1782212123374293945,1782212123374315755,1782212080319741224,43054774617,-43054574531,-43054674574,100043,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
56,1782212080319765823,1782212123374624465,1782212123374640055,1782212080319977740,43054858642,-43054662315,-43054760479,98163,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
57,1782212080320001720,1782212123374778885,1782212123374802385,1782212080320228065,43054777165,-43054574320,-43054675743,101422,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
58,1782212080320252435,1782212123375100795,1782212123375115895,1782212080320452081,43054848360,-43054663814,-43054756087,92273,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
59,1782212080320477820,1782212123375250756,1782212123375271506,1782212080320703776,43054772936,-43054567730,-43054670333,102603,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
60,1782212080320729415,1782212123375586716,1782212123375602136,1782212080320954511,43054857301,-43054647625,-43054752463,104838,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
61,1782212080320980240,1782212123375758276,1782212123375782206,1782212080321159557,43054778036,-43054622649,-43054700343,77693,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
62,1782212080321184056,1782212123376033266,1782212123376048376,1782212080321384972,43054849210,-43054663404,-43054756307,92903,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
63,1782212080321411472,1782212123376187756,1782212123376207956,1782212080321542449,43054776284,-43054665507,-43054720896,55388,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
64,1782212080321567889,1782212123376424276,1782212123376440736,1782212080321776794,43054856387,-43054663942,-43054760165,96222,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
65,1782212080321802264,1782212123376580156,1782212123376604586,1782212080321939131,43054777892,-43054665455,-43054721674,56218,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
66,1782212080321964241,1782212123376812096,1782212123376827646,1782212080322163917,43054847855,-43054663729,-43054755792,92063,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
67,1782212080322188846,1782212123376963036,1782212123376984036,1782212080322317724,43054774190,-43054666312,-43054720251,53939,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
68,1782212080322342353,1782212123377195976,1782212123377275376,1782212080322611558,43054853623,-43054663818,-43054758721,94902,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
69,1782212080322637717,1782212123377415316,1782212123377439436,1782212080322775595,43054777599,-43054663841,-43054720720,56879,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
70,1782212080322799895,1782212123377647856,1782212123377663206,1782212080323000181,43054847961,-43054663025,-43054755493,92468,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
71,1782212080323024681,1782212123377800216,1782212123377821936,1782212080323157168,43054775535,-43054664768,-43054720152,55383,1,1,1,1,best-path-median,udp,1,528,0,264,0,264,0,-43054720804,-43054732304,-43054751197,-43054720804,29942.079823,9398,87163,87631,53768,91983,102262,87163
