count_idx,delay_ns,loop_gap_ns,recv_block_ns
638,27262,11197,9493
639,25845,13787,9616
640,151363,17720,129335
641,127145,162675,12728
642,66779,20998,7087
643,51417,11957,4243
644,53606,8528,17666
645,39144,21970,4812
646,30232,9143,5503
647,38598,23668,4789
648,32497,9175,4372
649,35455,8702,12777
650,29877,16986,5246
651,28404,9457,7414
652,24749,11627,9442
653,32300,13696,21582
654,27382,29565,8882
655,24722,13280,8942
656,41627,13194,28305
657,32909,35209,4973
658,29470,9979,6454
659,26841,10734,8738
660,34259,12967,20880
661,33417,27754,9662
662,29379,17175,8862
663,24023,13153,8397
664,103109,12518,89541
665,178981,102584,121662
666,98360,147017,9953
667,82942,17952,4977
668,70346,9530,3810
669,54394,14818,4406
670,53131,8618,18381
671,40919,22742,7421
672,30254,11612,8237
673,89250,12433,81279
674,244880,93842,233044
675,189629,265004,12440
676,199571,39732,5596
677,194993,10553,4174
678,190089,8454,3963
679,184415,8167,4368
680,179325,8659,4216
681,173192,8646,3974
682,167662,8128,3946
683,163579,8129,3724
684,156304,11666,3666
685,143313,7830,3908
686,136044,8197,3591
687,119212,7835,3599
688,103142,7717,3507
689,126070,7662,43578
690,110762,47898,4479
691,56231,11923,7922
692,32045,12252,9763
693,33006,14078,23714
694,23935,27997,8164
695,38810,12294,27347
696,35919,34252,8268
697,34213,12613,8323
698,27684,17226,8484
699,23275,12742,8163
700,34620,12411,23659
701,34068,30471,10341
702,29936,14500,7409
703,28712,11666,8693
704,26386,13034,10137
705,136280,14375,116275
706,107088,154661,12755
707,54020,23928,6098
708,46922,14579,13429
709,40914,21758,11744
710,32989,20673,11431
711,59832,19922,43253
712,192127,54533,148454
713,89699,180123,10994
714,52823,21483,16032
715,49430,23345,12613
716,38027,19404,6012
717,32007,12145,6526
718,37665,13030,14281
719,36433,21253,6110
720,42540,20670,7350
721,40117,14712,6064
722,38801,13038,5787
723,35348,12133,5611
724,34085,12608,6268
725,38915,13159,12392
726,35012,20266,11459
727,39182,24846,11842
728,29774,19002,11868
729,32870,19465,11558
730,48832,18925,27456
731,279854,35233,249315
732,117014,284982,13460
733,64304,23319,19540
734,60106,26237,11465
735,45755,26915,4605
736,36160,8976,8587
737,27472,12822,8508
738,128492,12687,116616
739,93206,141787,11399
740,45684,20338,7022
741,119088,14457,69296
742,193199,128652,49116
743,194261,63720,8306
744,186415,16616,6537
745,182795,14094,8255
746,174802,15305,6002
747,170244,13552,5823
748,160431,14021,6240
749,159898,21101,6180
750,155457,14285,6104
751,157346,14273,6128
752,163486,14574,11842
753,163363,20216,6604
754,201362,60647,12666
755,182248,27387,5551
756,176399,13547,5390
757,160994,18366,5080
758,183013,11933,40526
759,239838,48145,212706
760,192739,246623,12382
761,183031,21205,5575
762,174471,10917,4085
763,160556,8719,4444
764,167742,23191,4487
765,162242,9138,3907
766,164863,8240,10966
767,159501,15294,4280
768,152967,8439,4359
769,148671,8646,6035
770,143528,10242,3843
771,142514,11690,4297
772,137451,8708,3842
773,130343,8127,3937
774,123661,8211,3700
775,113566,7815,4470
776,94806,8694,3674
777,84707,7983,3756
778,81801,9006,3872
779,117070,11530,48995
780,110787,53501,4835
781,98687,9042,3641
782,94699,7860,3594
783,83949,7820,4067
784,80338,8378,3935
