count_idx,delay_ns,clock_offset_ns,clock_sync_rtt_ns
895,7639,-679,32284
896,6899,-679,32284
897,5526,-679,32284
898,4343,-679,32284
899,6081,-679,32284
900,4959,-679,32284
901,3554,-679,32284
902,25169,-679,32284
903,8823,-679,32284
904,5691,-679,32284
905,5962,-679,32284
906,9461,-679,32284
907,5989,-679,32284
908,3977,-679,32284
909,6089,-679,32284
910,4353,-679,32284
911,3844,-679,32284
912,6691,-679,32284
913,5510,-679,32284
914,4120,-679,32284
915,6090,-679,32284
916,7236,-679,32284
917,5114,-679,32284
918,3571,-679,32284
919,22337,-679,32284
920,5674,-679,32284
921,3595,-679,32284
922,7184,-679,32284
923,4918,-679,32284
924,6918,-679,32284
925,5718,-679,32284
926,4482,-679,32284
927,5452,-679,32284
928,8696,-679,32284
929,5064,-679,32284
930,8341,-679,32284
931,5257,-679,32284
932,3406,-679,32284
933,32126,-679,32284
934,13603,-679,32284
935,10924,-679,32284
936,9287,-679,32284
937,9720,-679,32284
938,7581,-679,32284
939,5795,-679,32284
940,5006,-679,32284
941,4515,-679,32284
942,5993,-679,32284
943,4973,-679,32284
944,3962,-679,32284
945,7589,-679,32284
946,5969,-679,32284
947,4640,-679,32284
948,5161,-679,32284
949,3819,-679,32284
950,7805,-679,32284
951,5997,-679,32284
952,4817,-679,32284
953,3690,-679,32284
954,6094,-679,32284
955,5093,-679,32284
956,3809,-679,32284
957,6476,-679,32284
958,27077,-679,32284
959,22714,-679,32284
960,13927,-679,32284
961,10265,-679,32284
962,8380,-679,32284
963,6741,-679,32284
964,9848,-679,32284
965,7425,-679,32284
966,5046,-679,32284
967,3888,-679,32284
968,8222,-679,32284
969,9783,-679,32284
970,7597,-679,32284
971,6189,-679,32284
972,4653,-679,32284
973,26443,-679,32284
974,8762,-679,32284
975,6369,-679,32284
976,4867,-679,32284
977,3262,-679,32284
978,6129,-679,32284
979,5368,-679,32284
980,5192,-679,32284
981,4220,-679,32284
982,3356,-679,32284
983,6305,-679,32284
984,5076,-679,32284
985,3399,-679,32284
986,5666,-679,32284
987,4950,-679,32284
988,8900,-679,32284
989,22940,-679,32284
990,12497,-679,32284
991,12127,-679,32284
992,9440,-679,32284
993,7502,-679,32284
994,5979,-679,32284
995,7760,-679,32284
996,5568,-679,32284
997,7028,-679,32284
998,5999,-679,32284
999,4271,-679,32284
1000,6808,-679,32284
1001,7243,-679,32284
1002,18306,-679,32284
1003,8258,-679,32284
1004,4895,-679,32284
1005,8869,-679,32284
1006,5861,-679,32284
1007,3850,-679,32284
1008,5891,-679,32284
1009,4647,-679,32284
1010,3129,-679,32284
1011,23856,-679,32284
1012,14561,-679,32284
1013,11516,-679,32284
1014,10162,-679,32284
1015,8438,-679,32284
1016,6255,-679,32284
1017,5230,-679,32284
1018,4070,-679,32284
1019,8051,-679,32284
1020,6435,-679,32284
1021,5106,-679,32284
1022,3394,-679,32284
1023,7895,-679,32284
1024,3969,-679,32284
1025,24516,-679,32284
1026,6360,-679,32284
1027,4947,-679,32284
1028,3798,-679,32284
1029,5417,-679,32284
1030,3651,-679,32284
1031,23459,-679,32284
1032,7269,-679,32284
1033,7322,-679,32284
1034,6004,-679,32284
1035,5400,-679,32284
1036,3513,-679,32284
1037,6507,-679,32284
1038,6059,-679,32284
1039,4739,-679,32284
1040,3140,-679,32284
1041,21407,-679,32284
1042,5066,-679,32284
1043,8313,-679,32284
1044,9248,-679,32284
1045,7585,-679,32284
1046,6140,-679,32284
1047,4709,-679,32284
1048,3214,-679,32284
1049,8490,-679,32284
1050,4832,-679,32284
1051,6946,-679,32284
1052,4118,-679,32284
1053,6917,-679,32284
1054,5307,-679,32284
1055,5223,-679,32284
1056,3620,-679,32284
1057,24827,-679,32284
1058,7869,-679,32284
1059,4964,-679,32284
1060,6846,-679,32284
1061,5553,-679,32284
1062,9746,-679,32284
1063,6262,-679,32284
1064,5641,-679,32284
