sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
61,1780650930299571334,1780650930299582624,1780650930299582760,1780650930299600381,11290,17621,3165,14455,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
62,1780650930299611769,1780650930299622816,1780650930299622965,1780650930299640473,11047,17508,3230,14277,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
63,1780650930299651727,1780650930299663138,1780650930299663276,1780650930299680865,11411,17589,3089,14500,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
64,1780650930299692068,1780650930299703450,1780650930299703616,1780650930299720972,11382,17356,2987,14369,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
65,1780650930299732757,1780650930299743914,1780650930299744049,1780650930299761990,11157,17941,3392,14549,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
66,1780650930299773216,1780650930299784830,1780650930299784975,1780650930299802501,11614,17526,2956,14570,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
67,1780650930299813616,1780650930299824734,1780650930299824870,1780650930299842402,11118,17532,3207,14325,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
68,1780650930299853666,1780650930299867851,1780650930299867982,1780650930299883577,14185,15595,705,14890,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
69,1780650930299894215,1780650930299904795,1780650930299904920,1780650930299920670,10580,15750,2585,13165,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
70,1780650930299930760,1780650930299940955,1780650930299941079,1780650930299957132,10195,16053,2929,13124,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
71,1780650930299967285,1780650930299977437,1780650930299977566,1780650930299993448,10152,15882,2865,13017,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
72,1780650930300003550,1780650930300013866,1780650930300013999,1780650930300029715,10316,15716,2700,13016,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
73,1780650930300039784,1780650930300050126,1780650930300050247,1780650930300066313,10342,16066,2862,13204,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
74,1780650930300076904,1780650930300087453,1780650930300087586,1780650930300107631,10549,20045,4748,15297,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
75,1780650930300118670,1780650930300130475,1780650930300130612,1780650930300148088,11805,17476,2835,14640,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
76,1780650930300159182,1780650930300170663,1780650930300170813,1780650930300188290,11481,17477,2998,14479,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
77,1780650930300199283,1780650930300210948,1780650930300211091,1780650930300228581,11665,17490,2912,14577,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
78,1780650930300239691,1780650930300251659,1780650930300251886,1780650930300269656,11968,17770,2901,14869,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
79,1780650930300280699,1780650930300292255,1780650930300292442,1780650930300309915,11556,17473,2958,14514,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
80,1780650930300320991,1780650930300332740,1780650930300332876,1780650930300350209,11749,17333,2792,14541,1,0,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
81,1780650930300361190,1780650930300372610,1780650930300372746,1780650930300390152,11420,17406,2993,14413,1,1,best-path-median,2156,2001,2325,2156,4601.496104,537,13874,16374,12850,14512,29461,13874,0,ok
