count_idx,delay_ns,clock_offset_ns,clock_sync_rtt_ns
448,-41311423,2144857345,10994807
449,-41316620,2144857345,10994807
450,-41321965,2144857345,10994807
451,-41331000,2144857345,10994807
452,-41364288,2144857345,10994807
453,-41370905,2144857345,10994807
454,-41375193,2144857345,10994807
455,-41379145,2144857345,10994807
456,-41384202,2144857345,10994807
457,-41388444,2144857345,10994807
458,-41392485,2144857345,10994807
459,-41396540,2144857345,10994807
460,-41401121,2144857345,10994807
461,-41405413,2144857345,10994807
462,-41410947,2144857345,10994807
463,-41415479,2144857345,10994807
464,-40371979,2144857345,10994807
465,-40398508,2144857345,10994807
466,-40407279,2144857345,10994807
467,-40412017,2144857345,10994807
468,-40416178,2144857345,10994807
469,-40420804,2144857345,10994807
470,-40424619,2144857345,10994807
471,-40428471,2144857345,10994807
472,-40432305,2144857345,10994807
473,-40436740,2144857345,10994807
474,-40441816,2144857345,10994807
475,-40452853,2144857345,10994807
476,-40458410,2144857345,10994807
477,-40464716,2144857345,10994807
478,-40468955,2144857345,10994807
479,-40484797,2144857345,10994807
480,-40493027,2144857345,10994807
481,-40498029,2144857345,10994807
482,-40502807,2144857345,10994807
483,-40508932,2144857345,10994807
484,-40513696,2144857345,10994807
485,-40524457,2144857345,10994807
486,-40529112,2144857345,10994807
487,-40535040,2144857345,10994807
488,-40539976,2144857345,10994807
489,-40549866,2144857345,10994807
490,-40555572,2144857345,10994807
491,-40561910,2144857345,10994807
492,-40570544,2144857345,10994807
493,-40610276,2144857345,10994807
494,-40618762,2144857345,10994807
495,-40624398,2144857345,10994807
496,-40627705,2144857345,10994807
497,-40631695,2144857345,10994807
498,-40636082,2144857345,10994807
499,-40640337,2144857345,10994807
500,-40648683,2144857345,10994807
501,-40656818,2144857345,10994807
502,-40662963,2144857345,10994807
503,-40667229,2144857345,10994807
504,-40658788,2144857345,10994807
505,-40663476,2144857345,10994807
506,-40657583,2144857345,10994807
507,-40657420,2144857345,10994807
508,-40661811,2144857345,10994807
509,-40603691,2144857345,10994807
510,-40609889,2144857345,10994807
511,-40616519,2144857345,10994807
512,-40648852,2144857345,10994807
513,-40674626,2144857345,10994807
514,-40712532,2144857345,10994807
515,-40736658,2144857345,10994807
516,-40741997,2144857345,10994807
517,-40748299,2144857345,10994807
518,-40751921,2144857345,10994807
519,-40756150,2144857345,10994807
520,-40776191,2144857345,10994807
521,-40783939,2144857345,10994807
522,-40788183,2144857345,10994807
523,-40792473,2144857345,10994807
524,-40795768,2144857345,10994807
525,-40799405,2144857345,10994807
526,-40802928,2144857345,10994807
527,-40806468,2144857345,10994807
528,-40810274,2144857345,10994807
529,-40813918,2144857345,10994807
530,-40818797,2144857345,10994807
531,-40823717,2144857345,10994807
532,-40828116,2144857345,10994807
533,-40832272,2144857345,10994807
534,-40836072,2144857345,10994807
535,-40827973,2144857345,10994807
536,-40837236,2144857345,10994807
537,-40840272,2144857345,10994807
538,-40843886,2144857345,10994807
539,-40836077,2144857345,10994807
540,-40839290,2144857345,10994807
541,-40843017,2144857345,10994807
542,-40846828,2144857345,10994807
543,-40851590,2144857345,10994807
544,-40855089,2144857345,10994807
545,-40846342,2144857345,10994807
546,-40850048,2144857345,10994807
547,-40854927,2144857345,10994807
548,-40858570,2144857345,10994807
549,-40862049,2144857345,10994807
550,-40865566,2144857345,10994807
551,-40870497,2144857345,10994807
552,-40874122,2144857345,10994807
553,-40876877,2144857345,10994807
554,-40880463,2144857345,10994807
555,-40885194,2144857345,10994807
556,-40888535,2144857345,10994807
557,-40891663,2144857345,10994807
558,-40895527,2144857345,10994807
559,-40900781,2144857345,10994807
560,-40904678,2144857345,10994807
561,-40907732,2144857345,10994807
562,-40911951,2144857345,10994807
563,-40917335,2144857345,10994807
564,-40921290,2144857345,10994807
565,-40925158,2144857345,10994807
566,-40929139,2144857345,10994807
567,-40935434,2144857345,10994807
568,-40938596,2144857345,10994807
569,-40942128,2144857345,10994807
570,-40946773,2144857345,10994807
571,-40950195,2144857345,10994807
572,-40953363,2144857345,10994807
573,-40957103,2144857345,10994807
574,-40962200,2144857345,10994807
575,-40983371,2144857345,10994807
576,-40988324,2144857345,10994807
577,-40991497,2144857345,10994807
578,-40994494,2144857345,10994807
