count_idx,delay_ns,loop_gap_ns
1388,15932,12771
1389,16270,8696
1390,15707,8353
1391,14826,8662
1392,11179,7673
1393,90104,7249
1394,66571,97710
1395,61200,9786
1396,63424,12534
1397,60119,5808
1398,56168,5736
1399,53018,5435
1400,50130,5371
1401,80040,5341
1402,146454,40130
1403,34267,79471
1404,20194,47616
1405,17487,8027
1406,14069,8366
1407,130029,7179
1408,66530,149170
1409,51478,13376
1410,29202,5402
1411,21269,5201
1412,21035,8489
1413,38299,9971
1414,48123,49157
1415,24354,56081
1416,19819,9030
1417,19909,5929
1418,19761,5512
1419,19424,5329
1420,22152,5389
1421,22001,9275
1422,21299,5439
1423,45154,5269
1424,85442,31201
1425,60649,49283
1426,38691,82985
1427,19694,12126
1428,12588,8811
1429,14058,13409
1430,12137,7206
1431,9025,7648
1432,11386,7378
1433,59526,12920
1434,51605,68891
1435,43750,12510
1436,38465,5525
1437,59447,41643
1438,56196,14999
1439,50869,6884
1440,42981,5447
1441,37419,4624
1442,57139,4965
1443,110947,31459
1444,96085,67130
1445,167540,237050
1446,163990,21025
1447,159930,6615
1448,155749,4834
1449,151194,4572
1450,145050,4784
1451,140080,4451
1452,131877,4079
1453,159502,4402
1454,181412,40684
1455,74787,30664
1456,31999,115428
1457,23013,9531
1458,19198,5913
1459,16773,5201
1460,14379,5325
1461,27022,5078
1462,28946,27254
1463,17283,4847
1464,14378,5320
1465,14566,5359
1466,66890,8971
1467,54258,155343
1468,70303,79444
1469,66247,111098
1470,64922,17944
1471,58873,4131
1472,52673,3149
1473,46704,3165
1474,39429,2857
1475,33196,2807
1476,53238,2886
1477,62460,32193
1478,34097,28701
1479,12776,50886
1480,8017,8246
1481,29295,5258
1482,30498,34303
1483,14638,44795
1484,15084,6901
1485,13998,9808
1486,15758,5678
1487,12722,9936
1488,10483,7570
1489,9456,6946
1490,16506,7773
1491,10272,15995
1492,30437,4656
1493,47482,34350
1494,18968,53331
1495,56574,54683
1496,50958,8133
1497,46001,3680
1498,39615,3108
1499,31286,2854
1500,50103,6544
1501,43434,53625
1502,33985,53618
1503,12559,38934
1504,35382,6499
1505,16030,41213
1506,37305,11207
1507,44925,54964
1508,35313,57742
1509,34993,36006
1510,33639,49301
1511,33621,52020
1512,32861,42880
1513,33245,46058
1514,33555,46482
1515,33648,47949
1516,32877,47279
1517,33341,47419
1518,32447,46516
1519,34172,45922
1520,30628,44993
1521,40487,39084
1522,21705,52831
1523,30757,7319
1524,11259,40511
1525,32682,7207
1526,33883,50051
1527,31372,46878
1528,28529,43324
1529,30217,30764
1530,37371,36120
1531,27512,39093
1532,12143,31197
1533,8712,6002
1534,26943,5124
1535,44987,31661
