count_idx,delay_ns,loop_gap_ns,recv_block_ns
1046,7560,4074,2502
1047,6659,3945,2535
1048,22711,3988,18792
1049,14870,23471,2316
1050,10455,5943,1509
1051,9965,2968,2685
1052,8975,4133,2531
1053,7223,3946,2420
1054,26854,3851,22662
1055,34888,27307,23021
1056,34745,27763,23180
1057,34419,29375,21290
1058,34420,25985,22796
1059,35790,27484,24000
1060,34326,28686,22521
1061,124673,27193,110183
1062,115151,123817,6611
1063,90042,12142,3538
1064,101293,16575,5909
1065,104483,11096,3483
1066,106749,6969,3563
1067,108589,7065,3099
1068,109733,6532,3068
1069,111334,6435,3002
1070,111862,6293,3235
1071,119181,6520,2983
1072,124237,13327,4833
1073,126202,8288,3042
1074,127466,6301,2983
1075,129155,6181,3117
1076,130523,6374,3042
1077,132264,6379,3006
1078,134327,6704,2991
1079,144087,12709,4849
1080,146177,8832,3069
1081,147276,6359,3044
1082,146596,6333,3070
1083,193918,6294,48397
1084,196927,53205,4235
1085,199784,7750,3166
1086,208313,12595,5098
1087,211366,9642,3221
1088,213365,6684,3622
1089,215059,6919,2987
1090,217048,6258,2919
1091,218959,6151,2759
1092,221090,6046,2938
1093,228844,6258,2989
1094,234302,12977,4820
1095,236683,8261,3064
1096,239342,6372,3130
1097,242909,6388,4146
1098,245715,7503,3132
1099,248369,6405,3156
1100,251195,6424,3401
1101,261983,12950,4780
1102,264866,8563,3086
1103,268867,6370,4225
1104,271702,7597,2987
1105,274333,6222,3041
1106,277167,6357,3023
1107,279739,6317,3034
1108,290391,11619,5008
1109,293872,9462,3115
1110,296703,6447,3015
1111,299455,6282,2937
1112,301938,6239,2838
1113,304480,6103,2814
1114,306962,6062,2919
1115,319734,6124,5143
1116,323069,17730,2853
1117,324518,6021,3071
1118,326854,6169,2794
1119,328849,5900,2691
1120,331328,5795,2653
1121,333450,5725,2701
1122,335485,5754,2693
1123,333065,11459,4285
1124,321329,7805,2745
1125,319513,5798,2699
1126,319230,5787,2726
1127,319742,5831,2659
1128,319839,5749,2615
1129,319205,5672,2682
1130,323864,10731,4383
1131,325119,8515,2764
