count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns,ts_emit_ns,success
436,480359,0,480359,480359,0,0,1785319651776473734,0
437,317920,0,317920,317920,0,0,1785319651777534273,1
438,174825,0,174825,174825,0,0,1785319651778567687,0
439,130895,0,130895,130895,0,0,1785319651779700761,0
440,557927,0,557927,557927,0,0,1785319651780733921,0
441,495300,0,495300,495300,0,0,1785319651781762706,0
442,405084,0,405084,405084,0,0,1785319651782799547,0
443,192554,0,192554,192554,0,0,1785319651783825506,1
444,296959,0,296959,296959,0,0,1785319651784855656,1
445,284809,0,284809,284809,0,0,1785319651785869314,0
446,202835,0,202835,202835,0,0,1785319651786883414,0
447,196870,0,196870,196870,0,0,1785319651787903311,0
448,266778,0,266778,266778,0,0,1785319651788925283,1
449,227628,0,227628,227628,0,0,1785319651789957834,0
450,167334,0,167334,167334,0,0,1785319651790977996,0
451,701338,0,701338,701338,0,0,1785319651792006729,0
452,151535,0,151535,151535,0,0,1785319651793025533,0
453,122161,0,122161,122161,0,0,1785319651794039415,1
454,602955,0,602955,602955,0,0,1785319651795049868,0
455,345082,0,345082,345082,0,0,1785319651796101878,1
456,183801,0,183801,183801,0,0,1785319651797293267,1
457,210103,0,210103,210103,0,0,1785319651798337188,1
458,382889,0,382889,382889,0,0,1785319651799366664,0
459,176483,0,176483,176483,0,0,1785319651800399768,1
460,187745,0,187745,187745,0,0,1785319651801431749,0
461,274260,0,274260,274260,0,0,1785319651802490029,0
462,190478,0,190478,190478,0,0,1785319651803526276,0
463,337858,0,337858,337858,0,0,1785319651804548799,0
464,1272449,0,1272449,1272449,0,0,1785319651805578046,1
465,252928,0,252928,252928,0,0,1785319651806597603,0
466,217041,0,217041,217041,0,0,1785319651807618704,0
467,279209,0,279209,279209,0,0,1785319651808636002,1
468,128033,0,128033,128033,0,0,1785319651809654063,1
469,1664630,0,1664630,1664630,0,0,1785319651810669398,0
470,650405,0,650405,650405,0,0,1785319651811683704,1
471,1292636,0,1292636,1292636,0,0,1785319651812722603,0
472,275656,0,275656,275656,0,0,1785319651813739662,0
473,465541,0,465541,465541,0,0,1785319651814746288,0
474,137932,0,137932,137932,0,0,1785319651815796764,0
475,330638,0,330638,330638,0,0,1785319651816841827,0
476,302673,0,302673,302673,0,0,1785319651817874400,0
477,261342,0,261342,261342,0,0,1785319651818898004,0
478,814715,0,814715,814715,0,0,1785319651819910603,1
479,1250367,0,1250367,1250367,0,0,1785319651820927627,0
480,236402,0,236402,236402,0,0,1785319651821941629,0
