count_index,s2r_ns,r2a_ns,total_ns,werner
1340,177253,1352,178605,0.870054
1341,135372,1165,136537,0.898713
1342,123887,1312,125199,0.906784
1343,120456,1090,121546,0.909213
1344,119215,1100,120315,0.910094
1345,117816,1076,118892,0.911088
1346,114291,1054,115345,0.913599
1347,128125,1102,129227,0.903795
1348,115225,1074,116299,0.912932
1349,116331,1040,117371,0.912144
1350,115398,1073,116471,0.912809
1351,116206,1022,117228,0.912233
1352,113781,1037,114818,0.913963
1353,114590,1008,115598,0.913385
1354,241507,2730,244237,0.828355
1355,617342,1727,619069,0.631501
1356,175564,3180,178744,0.871187
1357,127725,1145,128870,0.904076
1358,114840,1087,115927,0.913207
1359,115551,1094,116645,0.912700
1360,113209,973,114182,0.914371
1361,220057,2205,222262,0.841978
1362,168254,1246,169500,0.876111
1363,142198,1125,143323,0.893960
1364,126164,957,127121,0.905176
1365,118681,977,119658,0.910473
1366,118214,1028,119242,0.910805
1367,234718,1710,236428,0.832635
1368,208013,1494,209507,0.849757
1369,204196,1390,205586,0.852242
1370,257747,1515,259262,0.818233
1371,177340,1328,178668,0.869996
1372,137675,1242,138917,0.897105
1373,143366,902,144268,0.893150
1374,143962,1069,145031,0.892737
1375,122613,1051,123664,0.907685
1376,114526,1059,115585,0.913431
1377,117343,987,118330,0.911424
1378,116852,947,117799,0.911773
1379,113953,964,114917,0.913840
1380,112917,919,113836,0.914580
1381,113897,965,114862,0.913880
1382,114071,945,115016,0.913756
1383,126653,957,127610,0.904831
1384,147391,1338,148729,0.890365
1385,237038,1651,238689,0.831169
1386,263797,1295,265092,0.814504
1387,127233,1142,128375,0.904423
1388,118196,1058,119254,0.910818
1389,114303,1018,115321,0.913590
1390,116039,924,116963,0.912352
1391,272979,2397,275376,0.808887
1392,345882,2116,347998,0.766077
1393,570535,1787,572322,0.652178
1394,319973,1828,321801,0.780935
1395,761106,1603,762709,0.573720
1396,218492,1703,220195,0.842984
1397,243359,1645,245004,0.827192
