count_index,s2r_ns,r2a_ns,total_ns,werner
145,251231,1311,252542,0.822274
146,271926,1344,273270,0.809529
147,232030,1278,233308,0.834338
148,160849,1475,162324,0.881137
149,143506,1080,144586,0.893052
150,151666,875,152541,0.887420
151,147521,1041,148562,0.890275
152,156072,1149,157221,0.884398
153,149083,1150,150233,0.889198
154,138822,1096,139918,0.896306
155,148013,1336,149349,0.889936
156,140367,1011,141378,0.895231
157,207196,1327,208523,0.850288
158,182655,1260,183915,0.866444
159,193767,1634,195401,0.859080
160,185461,1219,186680,0.864577
161,243389,1692,245081,0.827173
162,140858,1249,142107,0.894890
163,198800,1521,200321,0.855771
164,199203,1495,200698,0.855507
165,200881,1148,202029,0.854408
166,306466,1725,308191,0.788835
167,174261,1554,175815,0.872062
168,209734,1324,211058,0.848640
169,182048,1372,183420,0.866849
170,193371,1329,194700,0.859341
171,192873,1205,194078,0.859669
172,220247,1422,221669,0.841856
173,189553,1360,190913,0.861863
174,254588,1557,256145,0.820189
175,195966,1457,197423,0.857632
176,302476,1622,304098,0.791189
177,235891,1597,237488,0.831893
178,203341,1316,204657,0.852800
179,196014,1365,197379,0.857601
180,169619,1770,171389,0.875189
181,172993,1741,174734,0.872915
182,176018,1631,177649,0.870882
183,238927,1434,240361,0.829978
184,424379,1689,426068,0.723341
185,149883,1563,151446,0.888647
186,307963,1271,309234,0.787954
187,175126,1229,176355,0.871481
188,215174,1376,216550,0.845121
189,210756,2010,212766,0.847977
190,193574,1656,195230,0.859207
191,181524,1741,183265,0.867199
192,183218,1194,184412,0.866069
193,174926,1291,176217,0.871615
194,277770,1340,279110,0.805977
195,216419,1259,217678,0.844318
196,243753,1357,245110,0.826945
197,261347,1340,262687,0.816011
198,183248,1231,184479,0.866049
199,290945,1272,292217,0.798045
200,231309,1439,232748,0.834795
201,210242,1727,211969,0.848310
202,155198,1401,156599,0.884996
203,268970,1373,270343,0.811333
204,279865,1262,281127,0.804709
205,256568,1373,257941,0.818962
206,256575,1577,258152,0.818958
207,189362,1370,190732,0.861990
208,181156,1701,182857,0.867444
209,173103,1397,174500,0.872841
210,230283,1542,231825,0.835447
211,214054,1706,215760,0.845844
212,209649,1331,210980,0.848695
213,183440,1258,184698,0.865921
214,242205,1694,243899,0.827916
215,212894,1619,214513,0.846593
216,165658,1305,166963,0.877869
217,129362,1323,130685,0.902925
218,204066,1583,205649,0.852327
219,175776,1360,177136,0.871045
220,312555,1316,313871,0.785260
221,260020,1677,261697,0.816829
222,223452,1285,224737,0.839803
223,255827,11251,267078,0.819421
224,293002,1326,294328,0.796817
225,210310,1116,211426,0.848266
226,244000,1380,245380,0.826790
227,305383,1598,306981,0.789473
228,221271,1386,222657,0.841200
229,199131,1499,200630,0.855554
230,269164,1570,270734,0.811214
231,177518,1434,178952,0.869877
232,212547,1414,213961,0.846818
233,224274,1422,225696,0.839277
234,202627,1261,203888,0.853266
235,161109,1814,162923,0.880959
236,267676,1612,269288,0.812125
237,151510,1642,153152,0.887527
238,158185,1319,159504,0.882953
239,249578,1719,251297,0.823304
240,192280,1496,193776,0.860061
241,147567,1849,149416,0.890244
242,173490,1289,174779,0.872580
243,177947,1287,179234,0.869589
244,209920,1675,211595,0.848519
245,646565,1893,648458,0.619074
246,385866,1903,387769,0.743889
247,197348,1650,198998,0.856724
248,201763,1315,203078,0.853831
249,280510,1712,282222,0.804319
250,205034,1795,206829,0.851696
251,229877,1292,231169,0.835705
252,195448,1653,197101,0.857973
253,229498,1343,230841,0.835946
254,274209,1663,275872,0.808139
255,191601,1390,192991,0.860509
256,197794,1729,199523,0.856431
257,439006,1676,440682,0.715742
258,467083,1796,468879,0.701462
259,335294,1820,337114,0.772102
260,347111,1664,348775,0.765382
261,296812,1754,298566,0.794547
262,385849,1977,387826,0.743899
263,226316,1441,227757,0.837973
264,214497,1793,216290,0.845558
265,310661,1346,312007,0.786370
266,383493,1355,384848,0.745181
267,306488,1299,307787,0.788822
268,302800,1658,304458,0.790997
269,452435,1953,454388,0.708862
270,336852,1759,338611,0.771212
271,360352,1874,362226,0.757945
272,242220,1408,243628,0.827907
273,324988,1335,326323,0.778029
274,235597,1372,236969,0.832079
275,325629,1430,327059,0.777658
276,179062,1854,180916,0.868843
277,349722,1734,351456,0.763907
278,196878,1785,198663,0.857033
279,219409,1712,221121,0.842395
280,190112,1726,191838,0.861493
281,290338,1320,291658,0.798409
282,191997,1426,193423,0.860247
283,290008,1644,291652,0.798606
284,217356,1339,218695,0.843715
285,303994,1741,305735,0.790292
286,224831,1378,226209,0.838921
