count_idx,delay_ns,loop_gap_ns,recv_block_ns
674,6690,3477,1912
675,5359,4172,2488
676,3762,3534,2273
677,7186,3279,6651
678,6467,8262,2707
679,5014,3682,2396
680,7810,3395,6667
681,6630,8395,2007
682,5206,3082,2417
683,5030,4705,2416
684,3779,3473,2239
685,7174,3198,6696
686,6187,8336,2209
687,4910,3191,2380
688,7506,3385,6367
689,6497,7921,2767
690,4876,3768,2456
691,11547,3486,9164
692,21084,12212,21267
693,10331,24410,3345
694,7789,5862,2505
695,6552,4580,2338
696,5766,3970,2673
697,10817,3769,9009
698,6689,10662,1958
699,5075,2992,2418
700,4867,4780,2447
701,9570,3453,8202
702,6421,9913,2183
703,4812,3254,2420
704,7789,3412,6668
705,6431,8280,1910
706,5106,2888,2320
707,8309,3351,6683
708,7952,8460,2623
709,6233,4908,2375
710,4058,3376,2244
711,6967,3225,6559
712,6055,8164,2503
713,4317,3508,2246
714,6785,3236,6236
715,5851,7822,2477
716,5067,3979,2501
717,46806,44850,3151
718,43267,6200,2104
719,43423,4626,1739
720,43166,3811,1948
721,40526,3400,1306
722,38371,2293,1380
723,36126,2368,1073
724,34154,2239,1171
725,53279,2163,1184
726,55461,25148,2833
727,54434,5401,1297
728,52209,2659,1104
729,49839,2092,1306
730,47639,2273,1117
731,44721,2069,1113
732,42203,2073,1111
733,46028,2067,7318
734,45247,9704,1173
735,44135,2159,1158
736,42892,2120,1026
737,41921,2025,1145
738,40942,2099,1035
739,40092,2010,1202
740,38964,2248,1042
741,37889,2015,1139
742,37757,2095,996
743,36514,2987,1195
744,30787,2187,1120
745,25503,2103,1598
746,23443,2567,1195
747,21555,2152,1407
748,19350,2528,1107
749,15776,2075,1156
750,13619,2123,1171
751,12201,3262,1218
752,9874,2199,1114
753,7657,2129,1268
754,6034,2229,1978
755,4644,2970,2042
756,25902,3020,26056
757,15394,31336,2648
758,10759,3923,1243
759,10955,2275,1334
760,9018,5104,1318
761,12033,2284,6861
762,9679,7910,1293
763,8776,2257,2477
764,6022,3488,2430
765,4045,3419,2315
766,7997,3311,7558
767,7156,9112,2571
768,7514,4969,2269
769,5617,3287,2212
770,4484,3255,2345
771,20302,3340,22568
772,8986,25637,2554
773,5862,3891,1948
774,5141,3005,2666
775,8017,3688,6891
776,7026,8468,2226
777,7685,5656,1901
778,5402,2896,2586
779,3890,3600,2404
780,8987,3633,8001
781,6644,10209,3549
782,7139,5479,3319
783,5301,4453,2581
784,8364,3598,7062
785,7556,9999,1480
786,5709,2493,1934
787,4802,2965,2389
788,8279,4023,7022
789,6574,8619,1958
790,5066,2979,2407
791,7381,3400,6334
792,6371,7889,2555
793,4776,3547,2452
794,4038,4548,2259
795,7045,3261,6447
796,6165,8024,2443
797,20606,3477,20340
798,9124,23343,2363
799,6610,4426,1671
800,6109,3319,2093
801,5895,3180,2888
802,7433,4461,3936
803,8427,7266,3646
804,7723,5055,2639
805,6349,3669,1981
806,8897,2966,8076
