count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
92,13856,1781174216480518717,1781174216480518717,1781174216480553577,1781174216480553577,1781174216480532573,1781174216480532573,2,1,3,1.000000000000,1.000000000000,1.000000000000
93,14001,1781174216480647780,1781174216480647780,1781174216480682965,1781174216480682965,1781174216480661781,1781174216480661781,1,2,3,1.000000000000,1.000000000000,1.000000000000
94,14316,1781174216480772371,1781174216480772371,1781174216480808372,1781174216480808372,1781174216480786687,1781174216480786687,3,3,0,1.000000000000,1.000000000000,1.000000000000
95,13900,1781174216480896669,1781174216480896669,1781174216480931624,1781174216480931624,1781174216480910569,1781174216480910569,3,1,2,1.000000000000,1.000000000000,1.000000000000
96,14101,1781174216481020489,1781174216481020489,1781174216481055496,1781174216481055496,1781174216481034590,1781174216481034590,2,1,3,1.000000000000,1.000000000000,1.000000000000
97,14125,1781174216481144503,1781174216481144503,1781174216481208067,1781174216481208067,1781174216481158628,1781174216481158628,0,1,1,1.000000000000,1.000000000000,1.000000000000
98,15009,1781174216481274068,1781174216481274068,1781174216481327141,1781174216481327141,1781174216481289077,1781174216481289077,2,1,3,1.000000000000,1.000000000000,1.000000000000
99,30389,1781174216481402846,1781174216481402846,1781174216481464014,1781174216481464014,1781174216481433235,1781174216481433235,2,0,2,1.000000000000,1.000000000000,1.000000000000
100,14414,1781174216481545408,1781174216481545408,1781174216481585456,1781174216481585456,1781174216481559822,1781174216481559822,3,2,1,1.000000000000,1.000000000000,1.000000000000
101,16088,1781174216481669983,1781174216481669983,1781174216481710791,1781174216481710791,1781174216481686071,1781174216481686071,2,1,3,1.000000000000,1.000000000000,1.000000000000
102,26896,1781174216481797361,1781174216481797361,1781174216481849388,1781174216481849388,1781174216481824257,1781174216481824257,2,2,0,1.000000000000,1.000000000000,1.000000000000
103,27968,1781174216481937033,1781174216481937033,1781174216482005370,1781174216482005370,1781174216481965001,1781174216481965001,0,2,2,1.000000000000,1.000000000000,1.000000000000
104,25789,1781174216482083614,1781174216482083614,1781174216482147046,1781174216482147046,1781174216482109403,1781174216482109403,1,3,2,1.000000000000,1.000000000000,1.000000000000
105,14051,1781174216482221315,1781174216482221315,1781174216482258121,1781174216482258121,1781174216482235366,1781174216482235366,0,3,3,1.000000000000,1.000000000000,1.000000000000
106,14124,1781174216482345699,1781174216482345699,1781174216482380756,1781174216482380756,1781174216482359823,1781174216482359823,2,3,1,1.000000000000,1.000000000000,1.000000000000
107,14970,1781174216482470089,1781174216482470089,1781174216482505648,1781174216482505648,1781174216482485059,1781174216482485059,0,2,2,1.000000000000,1.000000000000,1.000000000000
108,14159,1781174216482595234,1781174216482595234,1781174216482629796,1781174216482629796,1781174216482609393,1781174216482609393,3,1,2,1.000000000000,1.000000000000,1.000000000000
109,13876,1781174216482719361,1781174216482719361,1781174216482753208,1781174216482753208,1781174216482733237,1781174216482733237,3,2,1,1.000000000000,1.000000000000,1.000000000000
110,14285,1781174216482846434,1781174216482846434,1781174216482881433,1781174216482881433,1781174216482860719,1781174216482860719,3,2,1,1.000000000000,1.000000000000,1.000000000000
111,14051,1781174216482970897,1781174216482970897,1781174216483005337,1781174216483005337,1781174216482984948,1781174216482984948,2,1,3,1.000000000000,1.000000000000,1.000000000000
112,14069,1781174216483094934,1781174216483094934,1781174216483129339,1781174216483129339,1781174216483109003,1781174216483109003,3,2,1,1.000000000000,1.000000000000,1.000000000000
113,14800,1781174216483218963,1781174216483218963,1781174216483254514,1781174216483254514,1781174216483233763,1781174216483233763,3,1,2,1.000000000000,1.000000000000,1.000000000000
114,14134,1781174216483348927,1781174216483348927,1781174216483383286,1781174216483383286,1781174216483363061,1781174216483363061,2,1,3,1.000000000000,1.000000000000,1.000000000000
115,14164,1781174216483473106,1781174216483473106,1781174216483507486,1781174216483507486,1781174216483487270,1781174216483487270,0,1,1,1.000000000000,1.000000000000,1.000000000000
116,14236,1781174216483597420,1781174216483597420,1781174216483631935,1781174216483631935,1781174216483611656,1781174216483611656,2,0,2,1.000000000000,1.000000000000,1.000000000000
117,14097,1781174216483721744,1781174216483721744,1781174216483756282,1781174216483756282,1781174216483735841,1781174216483735841,1,2,3,1.000000000000,1.000000000000,1.000000000000
118,14433,1781174216483845937,1781174216483845937,1781174216483880891,1781174216483880891,1781174216483860370,1781174216483860370,1,0,1,1.000000000000,1.000000000000,1.000000000000
119,14105,1781174216483970408,1781174216483970408,1781174216484004732,1781174216484004732,1781174216483984513,1781174216483984513,2,0,2,1.000000000000,1.000000000000,1.000000000000
120,13950,1781174216484094481,1781174216484094481,1781174216484128852,1781174216484128852,1781174216484108431,1781174216484108431,3,1,2,1.000000000000,1.000000000000,1.000000000000
121,14036,1781174216484218542,1781174216484218542,1781174216484252892,1781174216484252892,1781174216484232578,1781174216484232578,1,1,0,1.000000000000,1.000000000000,1.000000000000
122,14029,1781174216484342635,1781174216484342635,1781174216484389580,1781174216484389580,1781174216484356664,1781174216484356664,0,2,2,1.000000000000,1.000000000000,1.000000000000
123,14016,1781174216484466976,1781174216484466976,1781174216484510415,1781174216484510415,1781174216484480992,1781174216484480992,3,0,3,1.000000000000,1.000000000000,1.000000000000
124,13997,1781174216484591054,1781174216484591054,1781174216484627193,1781174216484627193,1781174216484605051,1781174216484605051,0,3,3,1.000000000000,1.000000000000,1.000000000000
125,13928,1781174216484715245,1781174216484715245,1781174216484750738,1781174216484750738,1781174216484729173,1781174216484729173,3,1,2,1.000000000000,1.000000000000,1.000000000000
126,14407,1781174216484839195,1781174216484839195,1781174216484910352,1781174216484910352,1781174216484853602,1781174216484853602,1,3,2,1.000000000000,1.000000000000,1.000000000000
127,23575,1781174216485014907,1781174216485014907,1781174216485076264,1781174216485076264,1781174216485038482,1781174216485038482,1,0,1,1.000000000000,1.000000000000,1.000000000000
128,48786,1781174216485154854,1781174216485154854,1781174216485345450,1781174216485345450,1781174216485203640,1781174216485203640,1,0,1,1.000000000000,1.000000000000,1.000000000000
129,46942,1781174216485417523,1781174216485417523,1781174216485522046,1781174216485522046,1781174216485464465,1781174216485464465,3,3,0,1.000000000000,1.000000000000,1.000000000000
130,27027,1781174216485581951,1781174216485581951,1781174216485669097,1781174216485669097,1781174216485608978,1781174216485608978,2,2,0,1.000000000000,1.000000000000,1.000000000000
131,5857,1781174216485720487,1781174216485720487,1781174216485772064,1781174216485772064,1781174216485726344,1781174216485726344,3,2,1,1.000000000000,1.000000000000,1.000000000000
132,15206,1781174216485847741,1781174216485847741,1781174216485885006,1781174216485885006,1781174216485862947,1781174216485862947,2,0,2,1.000000000000,1.000000000000,1.000000000000
133,14348,1781174216485973348,1781174216485973348,1781174216486008879,1781174216486008879,1781174216485987696,1781174216485987696,3,3,0,1.000000000000,1.000000000000,1.000000000000
134,14267,1781174216486098026,1781174216486098026,1781174216486133483,1781174216486133483,1781174216486112293,1781174216486112293,2,2,0,1.000000000000,1.000000000000,1.000000000000
135,14687,1781174216486222367,1781174216486222367,1781174216486257943,1781174216486257943,1781174216486237054,1781174216486237054,2,2,0,1.000000000000,1.000000000000,1.000000000000
136,14034,1781174216486347237,1781174216486347237,1781174216486381986,1781174216486381986,1781174216486361271,1781174216486361271,0,3,3,1.000000000000,1.000000000000,1.000000000000
137,13918,1781174216486471190,1781174216486471190,1781174216486506232,1781174216486506232,1781174216486485108,1781174216486485108,3,1,2,1.000000000000,1.000000000000,1.000000000000
138,14071,1781174216486595039,1781174216486595039,1781174216486629915,1781174216486629915,1781174216486609110,1781174216486609110,3,3,0,1.000000000000,1.000000000000,1.000000000000
139,14371,1781174216486723359,1781174216486723359,1781174216486758848,1781174216486758848,1781174216486737730,1781174216486737730,1,1,0,1.000000000000,1.000000000000,1.000000000000
140,14116,1781174216486847831,1781174216486847831,1781174216486882800,1781174216486882800,1781174216486861947,1781174216486861947,3,0,3,1.000000000000,1.000000000000,1.000000000000
141,13978,1781174216486971792,1781174216486971792,1781174216487006909,1781174216487006909,1781174216486985770,1781174216486985770,0,0,0,1.000000000000,1.000000000000,1.000000000000
142,14111,1781174216487095745,1781174216487095745,1781174216487130631,1781174216487130631,1781174216487109856,1781174216487109856,3,1,2,1.000000000000,1.000000000000,1.000000000000
143,13949,1781174216487219750,1781174216487219750,1781174216487254526,1781174216487254526,1781174216487233699,1781174216487233699,3,2,1,1.000000000000,1.000000000000,1.000000000000
144,14025,1781174216487343647,1781174216487343647,1781174216487378433,1781174216487378433,1781174216487357672,1781174216487357672,2,2,0,1.000000000000,1.000000000000,1.000000000000
145,14004,1781174216487467468,1781174216487467468,1781174216487502426,1781174216487502426,1781174216487481472,1781174216487481472,0,2,2,1.000000000000,1.000000000000,1.000000000000
146,13936,1781174216487591344,1781174216487591344,1781174216487626118,1781174216487626118,1781174216487605280,1781174216487605280,2,2,0,1.000000000000,1.000000000000,1.000000000000
147,13970,1781174216487715118,1781174216487715118,1781174216487749767,1781174216487749767,1781174216487729088,1781174216487729088,3,2,1,1.000000000000,1.000000000000,1.000000000000
148,14389,1781174216487839197,1781174216487839197,1781174216487874470,1781174216487874470,1781174216487853586,1781174216487853586,2,3,1,1.000000000000,1.000000000000,1.000000000000
149,14082,1781174216487963562,1781174216487963562,1781174216487998501,1781174216487998501,1781174216487977644,1781174216487977644,2,3,1,1.000000000000,1.000000000000,1.000000000000
150,14197,1781174216488090675,1781174216488090675,1781174216488126511,1781174216488126511,1781174216488104872,1781174216488104872,2,0,2,1.000000000000,1.000000000000,1.000000000000
151,14168,1781174216488215352,1781174216488215352,1781174216488250412,1781174216488250412,1781174216488229520,1781174216488229520,2,1,3,1.000000000000,1.000000000000,1.000000000000
