count_index,ts_swap,werner,success_bit
645,1789567786376758864,0.931000,1
646,1789567786377165498,0.000000,0
647,1789567786377572663,0.000000,0
648,1789567786377979558,0.931000,1
649,1789567786378386532,0.000000,0
650,1789567786378794957,0.000000,0
651,1789567786379201791,0.000000,0
652,1789567786379609756,0.000000,0
653,1789567786380017471,0.000000,0
654,1789567786380425145,0.931000,1
655,1789567786380832860,0.931000,1
656,1789567786381240154,0.000000,0
657,1789567786381647089,0.931000,1
658,1789567786382054014,0.000000,0
659,1789567786382460858,0.000000,0
660,1789567786382867443,0.931000,1
661,1789567786383274307,0.000000,0
662,1789567786383683532,0.931000,1
663,1789567786384090357,0.000000,0
664,1789567786384497681,0.931000,1
665,1789567786384904646,0.931000,1
666,1789567786385311820,0.000000,0
667,1789567786385718805,0.000000,0
668,1789567786386125750,0.931000,1
669,1789567786386532574,0.000000,0
670,1789567786386939359,0.000000,0
671,1789567786387346134,0.931000,1
672,1789567786387752648,0.000000,0
673,1789567786388160213,0.000000,0
674,1789567786388567177,0.000000,0
675,1789567786388973772,0.000000,0
676,1789567786389381307,0.931000,1
677,1789567786389788271,0.000000,0
678,1789567786390195256,0.000000,0
679,1789567786390602390,0.000000,0
680,1789567786391009185,0.931000,1
681,1789567786391416360,0.931000,1
682,1789567786391824864,0.000000,0
683,1789567786392231969,0.931000,1
684,1789567786392638804,0.000000,0
685,1789567786393045808,0.931000,1
686,1789567786393453293,0.000000,0
687,1789567786393860537,0.000000,0
688,1789567786394267762,0.000000,0
689,1789567786394674506,0.000000,0
690,1789567786395081251,0.000000,0
691,1789567786395488206,0.931000,1
692,1789567786395895250,0.931000,1
693,1789567786396302455,0.931000,1
694,1789567786396709209,0.000000,0
695,1789567786397115784,0.931000,1
696,1789567786397523828,0.000000,0
697,1789567786397930863,0.000000,0
698,1789567786398337698,0.000000,0
699,1789567786398744792,0.000000,0
700,1789567786399151897,0.931000,1
701,1789567786399558861,0.000000,0
702,1789567786399965356,0.931000,1
703,1789567786400372541,0.931000,1
704,1789567786400779315,0.931000,1
705,1789567786401185990,0.931000,1
706,1789567786401593325,0.000000,0
707,1789567786402000319,0.000000,0
708,1789567786402407264,0.000000,0
709,1789567786402814038,0.931000,1
710,1789567786403224453,0.000000,0
711,1789567786403631248,0.000000,0
712,1789567786404039492,0.000000,0
713,1789567786404447087,0.931000,1
714,1789567786404853731,0.931000,1
715,1789567786405261226,0.000000,0
716,1789567786405668501,0.931000,1
717,1789567786406075055,0.931000,1
718,1789567786406482020,0.931000,1
719,1789567786406888744,0.931000,1
720,1789567786407295979,0.931000,1
721,1789567786407702514,0.000000,0
722,1789567786408109368,0.931000,1
723,1789567786408516353,0.931000,1
