round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
300,1789997582086545571,0.989046,0.997314,0.000000,0
301,1789997582086726819,0.990948,0.997651,0.988620,1
302,1789997582086920666,0.997606,0.991223,0.988850,1
303,1789997582087119154,0.997448,0.990498,0.987971,1
304,1789997582087312549,0.997762,0.991421,0.989202,1
305,1789997582087504063,0.997496,0.990748,0.988267,1
306,1789997582087704981,0.997389,0.990470,0.000000,0
307,1789997582087898409,0.997458,0.990696,0.988177,1
308,1789997582088098025,0.996956,0.982681,0.979689,1
309,1789997582088323177,0.988589,0.997308,0.985927,1
310,1789997582088520303,0.933259,0.991006,0.924865,1
311,1789997582088689431,0.997889,0.991649,0.989556,1
312,1789997582088875744,0.989414,0.997515,0.986956,1
313,1789997582089054060,0.991188,0.997711,0.988919,1
314,1789997582089243466,0.997383,0.989819,0.987229,1
315,1789997582089437790,0.997448,0.990808,0.000000,0
316,1789997582089616849,0.982777,0.997109,0.979936,1
317,1789997582089815253,0.988980,0.997250,0.986260,1
318,1789997582090018583,0.990346,0.997558,0.000000,0
319,1789997582090242691,0.989401,0.997598,0.987024,1
320,1789997582090438528,0.997279,0.990277,0.000000,0
321,1789997582090634587,0.997548,0.990797,0.988367,1
322,1789997582090830877,0.997441,0.990102,0.987569,1
323,1789997582091043023,0.986990,0.997618,0.984639,1
324,1789997582091286460,0.987859,0.997170,0.000000,0
325,1789997582091582072,0.930781,0.988898,0.920448,1
326,1789997582091827299,0.997508,0.990675,0.000000,0
327,1789997582092040306,0.996932,0.977947,0.000000,0
328,1789997582092286586,0.981974,0.997144,0.979170,1
329,1789997582092657860,0.985398,0.997461,0.000000,0
330,1789997582092898302,0.980810,0.996953,0.977821,1
331,1789997582093190676,0.997256,0.985473,0.982768,1
332,1789997582093443842,0.989776,0.997481,0.000000,0
333,1789997582093688788,0.987598,0.997432,0.000000,0
334,1789997582093920692,0.997580,0.990207,0.987811,1
335,1789997582094142509,0.997411,0.990305,0.987742,1
336,1789997582094350841,0.988375,0.997277,0.985683,1
337,1789997582094574715,0.997537,0.989106,0.986670,1
338,1789997582094784480,0.990964,0.997706,0.988690,1
339,1789997582095020199,0.997656,0.988755,0.986437,1
340,1789997582095238593,0.997606,0.987416,0.000000,0
341,1789997582095508912,0.996832,0.978435,0.975335,1
342,1789997582095757597,0.997364,0.989339,0.000000,0
343,1789997582096000057,0.997293,0.983383,0.000000,0
344,1789997582096245941,0.989297,0.997538,0.986861,1
345,1789997582096470898,0.996973,0.983354,0.000000,0
346,1789997582096679941,0.984028,0.997261,0.000000,0
347,1789997582096871597,0.983410,0.997265,0.980720,1
348,1789997582097069300,0.991063,0.997591,0.988676,1
349,1789997582097267439,0.986869,0.997357,0.984260,1
350,1789997582097422925,0.988248,0.997336,0.985614,1
351,1789997582097629224,0.997402,0.990389,0.987817,1
352,1789997582097842601,0.997490,0.990430,0.000000,0
353,1789997582098041611,0.990974,0.997585,0.988581,1
